label,timeframe,start,end,years,trades,wins,losses,win_rate,profit_factor,net_profit,net_profit_pct,cagr_pct,max_dd_pct,sharpe,avg_trade_pct,avg_win_pct,avg_loss_pct,tp_exits,sl_exits,long_trades,long_wr,long_pnl,short_trades,short_wr,short_pnl,exposure_pct,avg_bars_held,sep_pct,sl_kind,sl_val,direction
sep 1.0% / ATR 1.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,2.942,11569.12,11.57,0.75,-4.55,1.05,16.5273,43.813,-19.854,4,3,0,,0.0,7,57.1,11569.12,12.78,14.0,1.0,ATR,1.0,short only
sep 1.0% / ATR 1.0,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,2.942,11568.02,11.57,0.75,-4.55,1.05,14.46,43.813,-14.893,5,3,1,0.0,-1.09,7,57.1,11569.12,12.91,12.4,1.0,ATR,1.0,both
sep 0.15% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,12,3,9,25.0,2.904,7804.66,7.8,0.51,-2.2,0.98,6.5039,39.682,-4.555,4,8,1,0.0,-1.09,11,27.3,7805.76,8.34,5.3,0.15,Percent,5.0,both
sep 0.15% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.904,7805.76,7.81,0.51,-2.2,0.98,7.0961,39.682,-5.123,3,8,0,,0.0,11,27.3,7805.76,8.21,5.7,0.15,Percent,5.0,short only
sep 0.5% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,12,3,9,25.0,2.904,7804.66,7.8,0.51,-2.2,0.98,6.5039,39.682,-4.555,4,8,1,0.0,-1.09,11,27.3,7805.76,8.34,5.3,0.5,Percent,5.0,both
sep 0.5% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.904,7805.76,7.81,0.51,-2.2,0.98,7.0961,39.682,-5.123,3,8,0,,0.0,11,27.3,7805.76,8.21,5.7,0.5,Percent,5.0,short only
sep 1.0% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,12,3,9,25.0,2.904,7804.66,7.8,0.51,-2.2,0.98,6.5039,39.682,-4.555,4,8,1,0.0,-1.09,11,27.3,7805.76,8.34,5.3,1.0,Percent,5.0,both
sep 1.0% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.904,7805.76,7.81,0.51,-2.2,0.98,7.0961,39.682,-5.123,3,8,0,,0.0,11,27.3,7805.76,8.21,5.7,1.0,Percent,5.0,short only
sep 3.0% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,12,3,9,25.0,2.904,7804.66,7.8,0.51,-2.2,0.98,6.5039,39.682,-4.555,4,8,1,0.0,-1.09,11,27.3,7805.76,8.34,5.3,3.0,Percent,5.0,both
sep 3.0% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.904,7805.76,7.81,0.51,-2.2,0.98,7.0961,39.682,-5.123,3,8,0,,0.0,11,27.3,7805.76,8.21,5.7,3.0,Percent,5.0,short only
sep 5.0% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,12,3,9,25.0,2.904,7804.66,7.8,0.51,-2.2,0.98,6.5039,39.682,-4.555,4,8,1,0.0,-1.09,11,27.3,7805.76,8.34,5.3,5.0,Percent,5.0,both
sep 5.0% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.904,7805.76,7.81,0.51,-2.2,0.98,7.0961,39.682,-5.123,3,8,0,,0.0,11,27.3,7805.76,8.21,5.7,5.0,Percent,5.0,short only
sep 2.0% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.904,7805.76,7.81,0.51,-2.2,0.98,7.0961,39.682,-5.123,3,8,0,,0.0,11,27.3,7805.76,8.21,5.7,2.0,Percent,5.0,short only
sep 2.0% / Percent 5.0,1w,2012-01-02,2026-09-07,14.68,12,3,9,25.0,2.904,7804.66,7.8,0.51,-2.2,0.98,6.5039,39.682,-4.555,4,8,1,0.0,-1.09,11,27.3,7805.76,8.34,5.3,2.0,Percent,5.0,both
sep 0.5% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,10,3,7,30.0,2.093,6217.67,6.22,0.41,-4.07,0.71,6.2177,39.682,-8.124,3,7,0,,0.0,10,30.0,6217.67,9.13,7.0,0.5,Percent,8.0,short only
sep 0.5% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.093,6216.57,6.22,0.41,-4.07,0.71,5.6514,39.682,-7.11,4,7,1,0.0,-1.09,10,30.0,6217.67,9.26,6.5,0.5,Percent,8.0,both
sep 1.0% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.093,6216.57,6.22,0.41,-4.07,0.71,5.6514,39.682,-7.11,4,7,1,0.0,-1.09,10,30.0,6217.67,9.26,6.5,1.0,Percent,8.0,both
sep 1.0% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,10,3,7,30.0,2.093,6217.67,6.22,0.41,-4.07,0.71,6.2177,39.682,-8.124,3,7,0,,0.0,10,30.0,6217.67,9.13,7.0,1.0,Percent,8.0,short only
sep 2.0% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.093,6216.57,6.22,0.41,-4.07,0.71,5.6514,39.682,-7.11,4,7,1,0.0,-1.09,10,30.0,6217.67,9.26,6.5,2.0,Percent,8.0,both
sep 2.0% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,10,3,7,30.0,2.093,6217.67,6.22,0.41,-4.07,0.71,6.2177,39.682,-8.124,3,7,0,,0.0,10,30.0,6217.67,9.13,7.0,2.0,Percent,8.0,short only
sep 5.0% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.093,6216.57,6.22,0.41,-4.07,0.71,5.6514,39.682,-7.11,4,7,1,0.0,-1.09,10,30.0,6217.67,9.26,6.5,5.0,Percent,8.0,both
sep 5.0% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,10,3,7,30.0,2.093,6217.67,6.22,0.41,-4.07,0.71,6.2177,39.682,-8.124,3,7,0,,0.0,10,30.0,6217.67,9.13,7.0,5.0,Percent,8.0,short only
sep 3.0% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.093,6216.57,6.22,0.41,-4.07,0.71,5.6514,39.682,-7.11,4,7,1,0.0,-1.09,10,30.0,6217.67,9.26,6.5,3.0,Percent,8.0,both
sep 3.0% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,10,3,7,30.0,2.093,6217.67,6.22,0.41,-4.07,0.71,6.2177,39.682,-8.124,3,7,0,,0.0,10,30.0,6217.67,9.13,7.0,3.0,Percent,8.0,short only
sep 0.15% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,11,3,8,27.27,2.093,6216.57,6.22,0.41,-4.07,0.71,5.6514,39.682,-7.11,4,7,1,0.0,-1.09,10,30.0,6217.67,9.26,6.5,0.15,Percent,8.0,both
sep 0.15% / Percent 8.0,1w,2012-01-02,2026-09-07,14.68,10,3,7,30.0,2.093,6217.67,6.22,0.41,-4.07,0.71,6.2177,39.682,-8.124,3,7,0,,0.0,10,30.0,6217.67,9.13,7.0,0.15,Percent,8.0,short only
sep 0.15% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.966,8608.93,8.61,0.56,-6.45,0.76,12.2985,43.813,-29.721,4,3,0,,0.0,7,57.1,8608.93,14.08,15.4,0.15,ATR,1.5,short only
sep 0.5% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.966,8608.93,8.61,0.56,-6.45,0.76,12.2985,43.813,-29.721,4,3,0,,0.0,7,57.1,8608.93,14.08,15.4,0.5,ATR,1.5,short only
sep 3.0% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.966,8608.93,8.61,0.56,-6.45,0.76,12.2985,43.813,-29.721,4,3,0,,0.0,7,57.1,8608.93,14.08,15.4,3.0,ATR,1.5,short only
sep 5.0% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.966,8608.93,8.61,0.56,-6.45,0.76,12.2985,43.813,-29.721,4,3,0,,0.0,7,57.1,8608.93,14.08,15.4,5.0,ATR,1.5,short only
sep 2.0% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.966,8608.93,8.61,0.56,-6.45,0.76,12.2985,43.813,-29.721,4,3,0,,0.0,7,57.1,8608.93,14.08,15.4,2.0,ATR,1.5,short only
sep 1.0% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.966,8608.93,8.61,0.56,-6.45,0.76,12.2985,43.813,-29.721,4,3,0,,0.0,7,57.1,8608.93,14.08,15.4,1.0,ATR,1.5,short only
sep 1.0% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.965,8607.84,8.61,0.56,-6.45,0.76,10.7598,43.813,-22.294,5,3,1,0.0,-1.09,7,57.1,8608.93,14.21,13.6,1.0,ATR,1.5,both
sep 2.0% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.965,8607.84,8.61,0.56,-6.45,0.76,10.7598,43.813,-22.294,5,3,1,0.0,-1.09,7,57.1,8608.93,14.21,13.6,2.0,ATR,1.5,both
sep 5.0% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.965,8607.84,8.61,0.56,-6.45,0.76,10.7598,43.813,-22.294,5,3,1,0.0,-1.09,7,57.1,8608.93,14.21,13.6,5.0,ATR,1.5,both
sep 3.0% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.965,8607.84,8.61,0.56,-6.45,0.76,10.7598,43.813,-22.294,5,3,1,0.0,-1.09,7,57.1,8608.93,14.21,13.6,3.0,ATR,1.5,both
sep 0.5% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.965,8607.84,8.61,0.56,-6.45,0.76,10.7598,43.813,-22.294,5,3,1,0.0,-1.09,7,57.1,8608.93,14.21,13.6,0.5,ATR,1.5,both
sep 0.15% / ATR 1.5,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.965,8607.84,8.61,0.56,-6.45,0.76,10.7598,43.813,-22.294,5,3,1,0.0,-1.09,7,57.1,8608.93,14.21,13.6,0.15,ATR,1.5,both
sep 2.0% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.476,5648.75,5.65,0.38,-9.07,0.5,8.0696,43.813,-39.589,4,3,0,,0.0,7,57.1,5648.75,14.6,16.0,2.0,ATR,2.0,short only
sep 1.0% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.476,5648.75,5.65,0.38,-9.07,0.5,8.0696,43.813,-39.589,4,3,0,,0.0,7,57.1,5648.75,14.6,16.0,1.0,ATR,2.0,short only
sep 3.0% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.476,5648.75,5.65,0.38,-9.07,0.5,8.0696,43.813,-39.589,4,3,0,,0.0,7,57.1,5648.75,14.6,16.0,3.0,ATR,2.0,short only
sep 5.0% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.476,5648.75,5.65,0.38,-9.07,0.5,8.0696,43.813,-39.589,4,3,0,,0.0,7,57.1,5648.75,14.6,16.0,5.0,ATR,2.0,short only
sep 0.15% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.476,5648.75,5.65,0.38,-9.07,0.5,8.0696,43.813,-39.589,4,3,0,,0.0,7,57.1,5648.75,14.6,16.0,0.15,ATR,2.0,short only
sep 0.5% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.476,5648.75,5.65,0.38,-9.07,0.5,8.0696,43.813,-39.589,4,3,0,,0.0,7,57.1,5648.75,14.6,16.0,0.5,ATR,2.0,short only
sep 0.5% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.475,5647.65,5.65,0.37,-9.07,0.5,7.0596,43.813,-29.694,5,3,1,0.0,-1.09,7,57.1,5648.75,14.73,14.1,0.5,ATR,2.0,both
sep 0.15% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.475,5647.65,5.65,0.37,-9.07,0.5,7.0596,43.813,-29.694,5,3,1,0.0,-1.09,7,57.1,5648.75,14.73,14.1,0.15,ATR,2.0,both
sep 5.0% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.475,5647.65,5.65,0.37,-9.07,0.5,7.0596,43.813,-29.694,5,3,1,0.0,-1.09,7,57.1,5648.75,14.73,14.1,5.0,ATR,2.0,both
sep 3.0% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.475,5647.65,5.65,0.37,-9.07,0.5,7.0596,43.813,-29.694,5,3,1,0.0,-1.09,7,57.1,5648.75,14.73,14.1,3.0,ATR,2.0,both
sep 2.0% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.475,5647.65,5.65,0.37,-9.07,0.5,7.0596,43.813,-29.694,5,3,1,0.0,-1.09,7,57.1,5648.75,14.73,14.1,2.0,ATR,2.0,both
sep 1.0% / ATR 2.0,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.475,5647.65,5.65,0.37,-9.07,0.5,7.0596,43.813,-29.694,5,3,1,0.0,-1.09,7,57.1,5648.75,14.73,14.1,1.0,ATR,2.0,both
sep 1.0% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,7,4,3,57.14,1.459,5514.92,5.51,0.37,-9.4,0.48,7.8785,43.813,-40.035,4,3,0,,0.0,7,57.1,5514.92,14.34,15.7,1.0,1R to TP,,short only
sep 1.0% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.459,5513.83,5.51,0.37,-9.4,0.48,6.8923,43.813,-30.029,5,3,1,0.0,-1.09,7,57.1,5514.92,14.47,13.9,1.0,1R to TP,,both
sep 5.0% / 1R to TP,1w,2012-01-02,2026-09-07,14.68,8,4,4,50.0,1.459,5513.83,5.51,0.37,-9.4,0.48,6.8923,43.813,-30.029,5,3,1,0.0,-1.09,7,57.1,5514.92,14.47,13.9,5.0,1R to TP,,both
