tf,dir,retrace,stop,sep_min,sep_max,is_trades,is_pf,passed_is,oos_fwd_pf,oos_fwd_trades,oos_back_pf,oos_back_trades,pf_wo_best,top1_share,worst_trade_pct
15m,long only,0.75,3.0xATR,2.0,20.0,489,0.825,False,,,,,,,
15m,long only,0.75,3.0%,0.5,0.0,941,0.827,False,,,,,,,
15m,long only,0.75,3.0%,0.5,10.0,919,0.797,False,,,,,,,
15m,long only,0.75,3.0%,0.5,20.0,939,0.833,False,,,,,,,
15m,long only,0.75,3.0%,2.0,0.0,463,0.838,False,,,,,,,
15m,long only,0.75,3.0%,2.0,10.0,441,0.799,False,,,,,,,
15m,long only,0.75,3.0%,2.0,20.0,461,0.847,False,,,,,,,
15m,long only,0.75,5.0%,0.5,0.0,822,0.825,False,,,,,,,
15m,long only,0.75,5.0%,0.5,10.0,804,0.803,False,,,,,,,
15m,long only,0.75,5.0%,0.5,20.0,820,0.837,False,,,,,,,
15m,long only,0.75,5.0%,2.0,0.0,388,0.852,False,,,,,,,
15m,long only,0.75,5.0%,2.0,10.0,370,0.824,False,,,,,,,
15m,long only,0.75,5.0%,2.0,20.0,386,0.868,False,,,,,,,
15m,long only,1.0,1.0xATR,0.5,0.0,1748,0.659,False,,,,,,,
15m,long only,1.0,1.0xATR,0.5,10.0,1723,0.624,False,,,,,,,
15m,long only,1.0,1.0xATR,0.5,20.0,1746,0.666,False,,,,,,,
15m,long only,1.0,1.0xATR,2.0,0.0,848,0.702,False,,,,,,,
15m,long only,1.0,1.0xATR,2.0,10.0,823,0.653,False,,,,,,,
15m,long only,1.0,1.0xATR,2.0,20.0,846,0.713,False,,,,,,,
15m,long only,1.0,2.0xATR,0.5,0.0,1180,0.759,False,,,,,,,
15m,long only,1.0,2.0xATR,0.5,10.0,1166,0.718,False,,,,,,,
15m,long only,1.0,2.0xATR,0.5,20.0,1181,0.754,False,,,,,,,
15m,long only,1.0,2.0xATR,2.0,0.0,571,0.797,False,,,,,,,
15m,long only,1.0,2.0xATR,2.0,10.0,554,0.745,False,,,,,,,
15m,long only,1.0,2.0xATR,2.0,20.0,572,0.79,False,,,,,,,
15m,long only,1.0,3.0xATR,0.5,0.0,961,0.789,False,,,,,,,
15m,long only,1.0,3.0xATR,0.5,10.0,951,0.763,False,,,,,,,
15m,long only,1.0,3.0xATR,0.5,20.0,961,0.791,False,,,,,,,
15m,long only,1.0,3.0xATR,2.0,0.0,468,0.793,False,,,,,,,
15m,long only,1.0,3.0xATR,2.0,10.0,457,0.758,False,,,,,,,
15m,long only,1.0,3.0xATR,2.0,20.0,468,0.796,False,,,,,,,
15m,long only,1.0,3.0%,0.5,0.0,848,0.778,False,,,,,,,
15m,long only,1.0,3.0%,0.5,10.0,828,0.748,False,,,,,,,
15m,long only,1.0,3.0%,0.5,20.0,846,0.784,False,,,,,,,
15m,long only,1.0,3.0%,2.0,0.0,447,0.792,False,,,,,,,
15m,long only,1.0,3.0%,2.0,10.0,426,0.752,False,,,,,,,
15m,long only,1.0,3.0%,2.0,20.0,445,0.799,False,,,,,,,
15m,long only,1.0,5.0%,0.5,0.0,726,0.762,False,,,,,,,
15m,long only,1.0,5.0%,0.5,10.0,710,0.74,False,,,,,,,
15m,long only,1.0,5.0%,0.5,20.0,724,0.772,False,,,,,,,
15m,long only,1.0,5.0%,2.0,0.0,368,0.803,False,,,,,,,
15m,long only,1.0,5.0%,2.0,10.0,351,0.778,False,,,,,,,
15m,long only,1.0,5.0%,2.0,20.0,366,0.817,False,,,,,,,
15m,both,0.25,1.0xATR,0.5,0.0,4699,0.496,False,,,,,,,
15m,both,0.25,1.0xATR,0.5,10.0,4659,0.474,False,,,,,,,
15m,both,0.25,1.0xATR,0.5,20.0,4697,0.495,False,,,,,,,
15m,both,0.25,1.0xATR,2.0,0.0,2127,0.622,False,,,,,,,
15m,both,0.25,1.0xATR,2.0,10.0,2087,0.592,False,,,,,,,
15m,both,0.25,1.0xATR,2.0,20.0,2125,0.621,False,,,,,,,
15m,both,0.25,2.0xATR,0.5,0.0,3694,0.589,False,,,,,,,
15m,both,0.25,2.0xATR,0.5,10.0,3664,0.564,False,,,,,,,
15m,both,0.25,2.0xATR,0.5,20.0,3693,0.586,False,,,,,,,
15m,both,0.25,2.0xATR,2.0,0.0,1624,0.7,False,,,,,,,
15m,both,0.25,2.0xATR,2.0,10.0,1594,0.667,False,,,,,,,
15m,both,0.25,2.0xATR,2.0,20.0,1623,0.695,False,,,,,,,
15m,both,0.25,3.0xATR,0.5,0.0,3280,0.625,False,,,,,,,
15m,both,0.25,3.0xATR,0.5,10.0,3255,0.599,False,,,,,,,
15m,both,0.25,3.0xATR,0.5,20.0,3279,0.621,False,,,,,,,
15m,both,0.25,3.0xATR,2.0,0.0,1414,0.727,False,,,,,,,
15m,both,0.25,3.0xATR,2.0,10.0,1389,0.693,False,,,,,,,
15m,both,0.25,3.0xATR,2.0,20.0,1413,0.722,False,,,,,,,
15m,both,0.25,3.0%,0.5,0.0,2918,0.614,False,,,,,,,
15m,both,0.25,3.0%,0.5,10.0,2885,0.591,False,,,,,,,
