tf,dir,retrace,stop,sep_min,sep_max,is_trades,is_pf,passed_is,oos_fwd_pf,oos_fwd_trades,oos_back_pf,oos_back_trades,pf_wo_best,top1_share,worst_trade_pct
1h,long only,1.0,3.0xATR,2.0,10.0,183,0.836,False,,,,,,,
1h,long only,1.0,3.0xATR,2.0,20.0,200,0.824,False,,,,,,,
1h,long only,1.0,3.0%,0.5,0.0,337,0.757,False,,,,,,,
1h,long only,1.0,3.0%,0.5,10.0,296,0.75,False,,,,,,,
1h,long only,1.0,3.0%,0.5,20.0,333,0.777,False,,,,,,,
1h,long only,1.0,3.0%,2.0,0.0,247,0.765,False,,,,,,,
1h,long only,1.0,3.0%,2.0,10.0,206,0.76,False,,,,,,,
1h,long only,1.0,3.0%,2.0,20.0,243,0.787,False,,,,,,,
1h,long only,1.0,5.0%,0.5,0.0,266,0.882,False,,,,,,,
1h,long only,1.0,5.0%,0.5,10.0,239,0.844,False,,,,,,,
1h,long only,1.0,5.0%,0.5,20.0,263,0.875,False,,,,,,,
1h,long only,1.0,5.0%,2.0,0.0,188,0.897,False,,,,,,,
1h,long only,1.0,5.0%,2.0,10.0,161,0.858,False,,,,,,,
1h,long only,1.0,5.0%,2.0,20.0,185,0.89,False,,,,,,,
1h,both,0.25,1.0xATR,0.5,0.0,1217,0.631,False,,,,,,,
1h,both,0.25,1.0xATR,0.5,10.0,1112,0.583,False,,,,,,,
1h,both,0.25,1.0xATR,0.5,20.0,1212,0.626,False,,,,,,,
1h,both,0.25,1.0xATR,2.0,0.0,894,0.643,False,,,,,,,
1h,both,0.25,1.0xATR,2.0,10.0,789,0.593,False,,,,,,,
1h,both,0.25,1.0xATR,2.0,20.0,889,0.638,False,,,,,,,
1h,both,0.25,2.0xATR,0.5,0.0,995,0.69,False,,,,,,,
1h,both,0.25,2.0xATR,0.5,10.0,922,0.591,False,,,,,,,
1h,both,0.25,2.0xATR,0.5,20.0,992,0.666,False,,,,,,,
1h,both,0.25,2.0xATR,2.0,0.0,693,0.713,False,,,,,,,
1h,both,0.25,2.0xATR,2.0,10.0,620,0.607,False,,,,,,,
1h,both,0.25,2.0xATR,2.0,20.0,690,0.687,False,,,,,,,
1h,both,0.25,3.0xATR,0.5,0.0,900,0.646,False,,,,,,,
1h,both,0.25,3.0xATR,0.5,10.0,837,0.574,False,,,,,,,
1h,both,0.25,3.0xATR,0.5,20.0,897,0.623,False,,,,,,,
1h,both,0.25,3.0xATR,2.0,0.0,614,0.672,False,,,,,,,
1h,both,0.25,3.0xATR,2.0,10.0,551,0.597,False,,,,,,,
1h,both,0.25,3.0xATR,2.0,20.0,611,0.646,False,,,,,,,
1h,both,0.25,3.0%,0.5,0.0,940,0.645,False,,,,,,,
1h,both,0.25,3.0%,0.5,10.0,853,0.586,False,,,,,,,
1h,both,0.25,3.0%,0.5,20.0,935,0.64,False,,,,,,,
1h,both,0.25,3.0%,2.0,0.0,670,0.651,False,,,,,,,
1h,both,0.25,3.0%,2.0,10.0,583,0.588,False,,,,,,,
1h,both,0.25,3.0%,2.0,20.0,665,0.646,False,,,,,,,
1h,both,0.25,5.0%,0.5,0.0,839,0.665,False,,,,,,,
1h,both,0.25,5.0%,0.5,10.0,766,0.578,False,,,,,,,
1h,both,0.25,5.0%,0.5,20.0,835,0.646,False,,,,,,,
1h,both,0.25,5.0%,2.0,0.0,580,0.667,False,,,,,,,
1h,both,0.25,5.0%,2.0,10.0,507,0.574,False,,,,,,,
1h,both,0.25,5.0%,2.0,20.0,576,0.647,False,,,,,,,
1h,both,0.5,1.0xATR,0.5,0.0,1165,0.652,False,,,,,,,
1h,both,0.5,1.0xATR,0.5,10.0,1066,0.601,False,,,,,,,
1h,both,0.5,1.0xATR,0.5,20.0,1163,0.644,False,,,,,,,
1h,both,0.5,1.0xATR,2.0,0.0,860,0.654,False,,,,,,,
1h,both,0.5,1.0xATR,2.0,10.0,761,0.597,False,,,,,,,
1h,both,0.5,1.0xATR,2.0,20.0,858,0.646,False,,,,,,,
1h,both,0.5,2.0xATR,0.5,0.0,885,0.705,False,,,,,,,
1h,both,0.5,2.0xATR,0.5,10.0,822,0.627,False,,,,,,,
1h,both,0.5,2.0xATR,0.5,20.0,883,0.703,False,,,,,,,
1h,both,0.5,2.0xATR,2.0,0.0,617,0.721,False,,,,,,,
1h,both,0.5,2.0xATR,2.0,10.0,554,0.635,False,,,,,,,
1h,both,0.5,2.0xATR,2.0,20.0,615,0.718,False,,,,,,,
1h,both,0.5,3.0xATR,0.5,0.0,777,0.66,False,,,,,,,
1h,both,0.5,3.0xATR,0.5,10.0,724,0.612,False,,,,,,,
1h,both,0.5,3.0xATR,0.5,20.0,775,0.66,False,,,,,,,
1h,both,0.5,3.0xATR,2.0,0.0,525,0.677,False,,,,,,,
1h,both,0.5,3.0xATR,2.0,10.0,472,0.626,False,,,,,,,
1h,both,0.5,3.0xATR,2.0,20.0,523,0.677,False,,,,,,,
1h,both,0.5,3.0%,0.5,0.0,828,0.637,False,,,,,,,
1h,both,0.5,3.0%,0.5,10.0,745,0.581,False,,,,,,,
1h,both,0.5,3.0%,0.5,20.0,824,0.645,False,,,,,,,
1h,both,0.5,3.0%,2.0,0.0,593,0.636,False,,,,,,,
1h,both,0.5,3.0%,2.0,10.0,510,0.574,False,,,,,,,
1h,both,0.5,3.0%,2.0,20.0,589,0.645,False,,,,,,,
1h,both,0.5,5.0%,0.5,0.0,704,0.651,False,,,,,,,
1h,both,0.5,5.0%,0.5,10.0,637,0.595,False,,,,,,,
1h,both,0.5,5.0%,0.5,20.0,701,0.65,False,,,,,,,
1h,both,0.5,5.0%,2.0,0.0,484,0.654,False,,,,,,,
1h,both,0.5,5.0%,2.0,10.0,417,0.591,False,,,,,,,
1h,both,0.5,5.0%,2.0,20.0,481,0.653,False,,,,,,,
1h,both,0.75,1.0xATR,0.5,0.0,1139,0.719,False,,,,,,,
1h,both,0.75,1.0xATR,0.5,10.0,1047,0.686,False,,,,,,,
1h,both,0.75,1.0xATR,0.5,20.0,1137,0.708,False,,,,,,,
1h,both,0.75,1.0xATR,2.0,0.0,845,0.724,False,,,,,,,
1h,both,0.75,1.0xATR,2.0,10.0,753,0.686,False,,,,,,,
1h,both,0.75,1.0xATR,2.0,20.0,843,0.711,False,,,,,,,
1h,both,0.75,2.0xATR,0.5,0.0,835,0.74,False,,,,,,,
1h,both,0.75,2.0xATR,0.5,10.0,779,0.696,False,,,,,,,
1h,both,0.75,2.0xATR,0.5,20.0,833,0.734,False,,,,,,,
1h,both,0.75,2.0xATR,2.0,0.0,589,0.751,False,,,,,,,
1h,both,0.75,2.0xATR,2.0,10.0,533,0.703,False,,,,,,,
1h,both,0.75,2.0xATR,2.0,20.0,587,0.745,False,,,,,,,
1h,both,0.75,3.0xATR,0.5,0.0,708,0.694,False,,,,,,,
1h,both,0.75,3.0xATR,0.5,10.0,666,0.675,False,,,,,,,
1h,both,0.75,3.0xATR,0.5,20.0,706,0.69,False,,,,,,,
1h,both,0.75,3.0xATR,2.0,0.0,483,0.708,False,,,,,,,
1h,both,0.75,3.0xATR,2.0,10.0,441,0.691,False,,,,,,,
1h,both,0.75,3.0xATR,2.0,20.0,481,0.705,False,,,,,,,
1h,both,0.75,3.0%,0.5,0.0,771,0.692,False,,,,,,,
1h,both,0.75,3.0%,0.5,10.0,693,0.665,False,,,,,,,
1h,both,0.75,3.0%,0.5,20.0,767,0.7,False,,,,,,,
1h,both,0.75,3.0%,2.0,0.0,561,0.697,False,,,,,,,
1h,both,0.75,3.0%,2.0,10.0,483,0.667,False,,,,,,,
1h,both,0.75,3.0%,2.0,20.0,557,0.706,False,,,,,,,
1h,both,0.75,5.0%,0.5,0.0,634,0.699,False,,,,,,,
1h,both,0.75,5.0%,0.5,10.0,576,0.668,False,,,,,,,
1h,both,0.75,5.0%,0.5,20.0,631,0.695,False,,,,,,,
1h,both,0.75,5.0%,2.0,0.0,441,0.707,False,,,,,,,
1h,both,0.75,5.0%,2.0,10.0,383,0.673,False,,,,,,,
1h,both,0.75,5.0%,2.0,20.0,438,0.702,False,,,,,,,
1h,both,1.0,1.0xATR,0.5,0.0,1114,0.702,False,,,,,,,
1h,both,1.0,1.0xATR,0.5,10.0,1024,0.675,False,,,,,,,
1h,both,1.0,1.0xATR,0.5,20.0,1112,0.691,False,,,,,,,
1h,both,1.0,1.0xATR,2.0,0.0,833,0.703,False,,,,,,,
1h,both,1.0,1.0xATR,2.0,10.0,743,0.672,False,,,,,,,
1h,both,1.0,1.0xATR,2.0,20.0,831,0.69,False,,,,,,,
1h,both,1.0,2.0xATR,0.5,0.0,799,0.715,False,,,,,,,
1h,both,1.0,2.0xATR,0.5,10.0,746,0.676,False,,,,,,,
1h,both,1.0,2.0xATR,0.5,20.0,797,0.709,False,,,,,,,
1h,both,1.0,2.0xATR,2.0,0.0,571,0.726,False,,,,,,,
1h,both,1.0,2.0xATR,2.0,10.0,518,0.683,False,,,,,,,
1h,both,1.0,2.0xATR,2.0,20.0,569,0.719,False,,,,,,,
1h,both,1.0,3.0xATR,0.5,0.0,662,0.678,False,,,,,,,
1h,both,1.0,3.0xATR,0.5,10.0,623,0.654,False,,,,,,,
1h,both,1.0,3.0xATR,0.5,20.0,660,0.674,False,,,,,,,
1h,both,1.0,3.0xATR,2.0,0.0,461,0.691,False,,,,,,,
1h,both,1.0,3.0xATR,2.0,10.0,422,0.667,False,,,,,,,
1h,both,1.0,3.0xATR,2.0,20.0,459,0.687,False,,,,,,,
1h,both,1.0,3.0%,0.5,0.0,730,0.668,False,,,,,,,
1h,both,1.0,3.0%,0.5,10.0,654,0.646,False,,,,,,,
1h,both,1.0,3.0%,0.5,20.0,726,0.676,False,,,,,,,
1h,both,1.0,3.0%,2.0,0.0,542,0.668,False,,,,,,,
1h,both,1.0,3.0%,2.0,10.0,466,0.643,False,,,,,,,
1h,both,1.0,3.0%,2.0,20.0,538,0.677,False,,,,,,,
1h,both,1.0,5.0%,0.5,0.0,586,0.68,False,,,,,,,
1h,both,1.0,5.0%,0.5,10.0,531,0.652,False,,,,,,,
1h,both,1.0,5.0%,0.5,20.0,583,0.675,False,,,,,,,
1h,both,1.0,5.0%,2.0,0.0,417,0.691,False,,,,,,,
1h,both,1.0,5.0%,2.0,10.0,362,0.661,False,,,,,,,
1h,both,1.0,5.0%,2.0,20.0,414,0.686,False,,,,,,,
4h,long only,0.25,1.0xATR,0.5,0.0,134,1.035,True,0.738,160.0,0.02,146.0,0.859,4.8,-7.47
4h,long only,0.25,1.0xATR,0.5,10.0,86,0.798,False,,,,,,,
4h,long only,0.25,1.0xATR,0.5,20.0,122,1.013,True,0.903,155.0,0.016,139.0,0.936,2.5,-5.67
4h,long only,0.25,1.0xATR,2.0,0.0,102,1.084,True,0.768,117.0,0.033,109.0,0.898,5.0,-7.47
4h,long only,0.25,1.0xATR,2.0,10.0,54,0.91,False,,,,,,,
4h,long only,0.25,1.0xATR,2.0,20.0,90,1.081,True,0.958,112.0,0.027,102.0,0.996,2.6,-5.67
4h,long only,0.25,2.0xATR,0.5,0.0,114,0.842,False,,,,,,,
4h,long only,0.25,2.0xATR,0.5,10.0,77,0.675,False,,,,,,,
4h,long only,0.25,2.0xATR,0.5,20.0,106,0.867,False,,,,,,,
4h,long only,0.25,2.0xATR,2.0,0.0,87,0.862,False,,,,,,,
4h,long only,0.25,2.0xATR,2.0,10.0,50,0.714,False,,,,,,,
4h,long only,0.25,2.0xATR,2.0,20.0,79,0.894,False,,,,,,,
4h,long only,0.25,3.0xATR,0.5,0.0,105,0.747,False,,,,,,,
4h,long only,0.25,3.0xATR,0.5,10.0,74,0.55,False,,,,,,,
4h,long only,0.25,3.0xATR,0.5,20.0,98,0.777,False,,,,,,,
4h,long only,0.25,3.0xATR,2.0,0.0,78,0.773,False,,,,,,,
4h,long only,0.25,3.0xATR,2.0,10.0,47,0.592,False,,,,,,,
4h,long only,0.25,3.0xATR,2.0,20.0,71,0.814,False,,,,,,,
4h,long only,0.25,3.0%,0.5,0.0,125,0.905,False,,,,,,,
4h,long only,0.25,3.0%,0.5,10.0,78,0.688,False,,,,,,,
4h,long only,0.25,3.0%,0.5,20.0,111,0.88,False,,,,,,,
4h,long only,0.25,3.0%,2.0,0.0,98,0.942,False,,,,,,,
4h,long only,0.25,3.0%,2.0,10.0,51,0.757,False,,,,,,,
4h,long only,0.25,3.0%,2.0,20.0,84,0.928,False,,,,,,,
4h,long only,0.25,5.0%,0.5,0.0,115,0.893,False,,,,,,,
4h,long only,0.25,5.0%,0.5,10.0,73,0.602,False,,,,,,,
4h,long only,0.25,5.0%,0.5,20.0,103,0.849,False,,,,,,,
4h,long only,0.25,5.0%,2.0,0.0,89,0.919,False,,,,,,,
4h,long only,0.25,5.0%,2.0,10.0,47,0.64,False,,,,,,,
4h,long only,0.25,5.0%,2.0,20.0,77,0.882,False,,,,,,,
4h,long only,0.5,1.0xATR,0.5,0.0,120,0.954,False,,,,,,,
4h,long only,0.5,1.0xATR,0.5,10.0,81,1.012,True,1.038,132.0,0.007,118.0,0.994,3.3,-3.66
4h,long only,0.5,1.0xATR,0.5,20.0,110,0.888,False,,,,,,,
4h,long only,0.5,1.0xATR,2.0,0.0,92,0.978,False,,,,,,,
4h,long only,0.5,1.0xATR,2.0,10.0,53,1.095,True,1.127,91.0,0.012,81.0,1.074,3.6,-3.66
4h,long only,0.5,1.0xATR,2.0,20.0,82,0.916,False,,,,,,,
4h,long only,0.5,2.0xATR,0.5,0.0,98,0.826,False,,,,,,,
4h,long only,0.5,2.0xATR,0.5,10.0,71,0.867,False,,,,,,,
4h,long only,0.5,2.0xATR,0.5,20.0,91,0.764,False,,,,,,,
4h,long only,0.5,2.0xATR,2.0,0.0,75,0.825,False,,,,,,,
4h,long only,0.5,2.0xATR,2.0,10.0,48,0.87,False,,,,,,,
4h,long only,0.5,2.0xATR,2.0,20.0,68,0.761,False,,,,,,,
4h,long only,0.5,3.0xATR,0.5,0.0,88,0.761,False,,,,,,,
4h,long only,0.5,3.0xATR,0.5,10.0,68,0.668,False,,,,,,,
4h,long only,0.5,3.0xATR,0.5,20.0,82,0.715,False,,,,,,,
4h,long only,0.5,3.0xATR,2.0,0.0,65,0.768,False,,,,,,,
4h,long only,0.5,3.0xATR,2.0,10.0,45,0.675,False,,,,,,,
4h,long only,0.5,3.0xATR,2.0,20.0,59,0.722,False,,,,,,,
4h,long only,0.5,3.0%,0.5,0.0,115,0.906,False,,,,,,,
4h,long only,0.5,3.0%,0.5,10.0,73,0.878,False,,,,,,,
4h,long only,0.5,3.0%,0.5,20.0,101,0.83,False,,,,,,,
4h,long only,0.5,3.0%,2.0,0.0,92,0.917,False,,,,,,,
4h,long only,0.5,3.0%,2.0,10.0,50,0.902,False,,,,,,,
4h,long only,0.5,3.0%,2.0,20.0,78,0.84,False,,,,,,,
4h,long only,0.5,5.0%,0.5,0.0,97,0.882,False,,,,,,,
4h,long only,0.5,5.0%,0.5,10.0,67,0.724,False,,,,,,,
4h,long only,0.5,5.0%,0.5,20.0,86,0.864,False,,,,,,,
4h,long only,0.5,5.0%,2.0,0.0,75,0.887,False,,,,,,,
4h,long only,0.5,5.0%,2.0,10.0,45,0.725,False,,,,,,,
4h,long only,0.5,5.0%,2.0,20.0,64,0.871,False,,,,,,,
4h,long only,0.75,1.0xATR,0.5,0.0,115,0.902,False,,,,,,,
4h,long only,0.75,1.0xATR,0.5,10.0,80,0.787,False,,,,,,,
4h,long only,0.75,1.0xATR,0.5,20.0,107,0.812,False,,,,,,,
4h,long only,0.75,1.0xATR,2.0,0.0,88,0.926,False,,,,,,,
4h,long only,0.75,1.0xATR,2.0,10.0,53,0.825,False,,,,,,,
4h,long only,0.75,1.0xATR,2.0,20.0,80,0.834,False,,,,,,,
4h,long only,0.75,2.0xATR,0.5,0.0,93,0.737,False,,,,,,,
4h,long only,0.75,2.0xATR,0.5,10.0,69,0.654,False,,,,,,,
4h,long only,0.75,2.0xATR,0.5,20.0,87,0.689,False,,,,,,,
4h,long only,0.75,2.0xATR,2.0,0.0,71,0.734,False,,,,,,,
4h,long only,0.75,2.0xATR,2.0,10.0,47,0.641,False,,,,,,,
4h,long only,0.75,2.0xATR,2.0,20.0,65,0.683,False,,,,,,,
4h,long only,0.75,3.0xATR,0.5,0.0,79,0.735,False,,,,,,,
4h,long only,0.75,3.0xATR,0.5,10.0,63,0.621,False,,,,,,,
4h,long only,0.75,3.0xATR,0.5,20.0,74,0.71,False,,,,,,,
4h,long only,0.75,3.0xATR,2.0,0.0,59,0.732,False,,,,,,,
4h,long only,0.75,3.0xATR,2.0,10.0,43,0.606,False,,,,,,,
4h,long only,0.75,3.0xATR,2.0,20.0,54,0.704,False,,,,,,,
4h,long only,0.75,3.0%,0.5,0.0,110,0.808,False,,,,,,,
4h,long only,0.75,3.0%,0.5,10.0,70,0.752,False,,,,,,,
4h,long only,0.75,3.0%,0.5,20.0,96,0.8,False,,,,,,,
4h,long only,0.75,3.0%,2.0,0.0,89,0.803,False,,,,,,,
4h,long only,0.75,3.0%,2.0,10.0,49,0.738,False,,,,,,,
4h,long only,0.75,3.0%,2.0,20.0,75,0.794,False,,,,,,,
4h,long only,0.75,5.0%,0.5,0.0,90,0.775,False,,,,,,,
4h,long only,0.75,5.0%,0.5,10.0,64,0.589,False,,,,,,,
4h,long only,0.75,5.0%,0.5,20.0,80,0.756,False,,,,,,,
4h,long only,0.75,5.0%,2.0,0.0,70,0.768,False,,,,,,,
4h,long only,0.75,5.0%,2.0,10.0,44,0.566,False,,,,,,,
4h,long only,0.75,5.0%,2.0,20.0,60,0.746,False,,,,,,,
4h,long only,1.0,1.0xATR,0.5,0.0,113,1.134,True,0.801,150.0,0.046,138.0,0.903,7.5,-7.47
4h,long only,1.0,1.0xATR,0.5,10.0,78,0.973,False,,,,,,,
4h,long only,1.0,1.0xATR,0.5,20.0,105,1.019,True,0.904,145.0,0.03,131.0,0.926,3.8,-5.67
4h,long only,1.0,1.0xATR,2.0,0.0,88,1.182,True,0.816,111.0,0.074,101.0,0.933,7.9,-7.47
4h,long only,1.0,1.0xATR,2.0,10.0,53,1.056,True,1.04,89.0,0.016,81.0,0.998,4.7,-4.73
4h,long only,1.0,1.0xATR,2.0,20.0,80,1.069,True,0.936,106.0,0.05,94.0,0.964,4.1,-5.67
4h,long only,1.0,2.0xATR,0.5,0.0,89,0.924,False,,,,,,,
4h,long only,1.0,2.0xATR,0.5,10.0,65,0.799,False,,,,,,,
4h,long only,1.0,2.0xATR,0.5,20.0,83,0.864,False,,,,,,,
4h,long only,1.0,2.0xATR,2.0,0.0,71,0.933,False,,,,,,,
4h,long only,1.0,2.0xATR,2.0,10.0,47,0.809,False,,,,,,,
4h,long only,1.0,2.0xATR,2.0,20.0,65,0.873,False,,,,,,,
4h,long only,1.0,3.0xATR,0.5,0.0,75,0.915,False,,,,,,,
4h,long only,1.0,3.0xATR,0.5,10.0,59,0.751,False,,,,,,,
4h,long only,1.0,3.0xATR,0.5,20.0,70,0.881,False,,,,,,,
4h,long only,1.0,3.0xATR,2.0,0.0,59,0.924,False,,,,,,,
4h,long only,1.0,3.0xATR,2.0,10.0,43,0.756,False,,,,,,,
4h,long only,1.0,3.0xATR,2.0,20.0,54,0.89,False,,,,,,,
4h,long only,1.0,3.0%,0.5,0.0,106,1.012,True,0.733,118.0,0.035,122.0,0.81,7.6,-3.18
4h,long only,1.0,3.0%,0.5,10.0,66,0.914,False,,,,,,,
4h,long only,1.0,3.0%,0.5,20.0,92,0.999,False,,,,,,,
4h,long only,1.0,3.0%,2.0,0.0,89,1.02,True,0.762,86.0,0.055,88.0,0.829,8.0,-3.18
4h,long only,1.0,3.0%,2.0,10.0,49,0.924,False,,,,,,,
4h,long only,1.0,3.0%,2.0,20.0,75,1.009,True,0.845,81.0,0.061,81.0,0.883,4.9,-3.18
4h,long only,1.0,5.0%,0.5,0.0,86,0.959,False,,,,,,,
4h,long only,1.0,5.0%,0.5,10.0,60,0.704,False,,,,,,,
4h,long only,1.0,5.0%,0.5,20.0,76,0.931,False,,,,,,,
4h,long only,1.0,5.0%,2.0,0.0,70,0.963,False,,,,,,,
4h,long only,1.0,5.0%,2.0,10.0,44,0.699,False,,,,,,,
4h,long only,1.0,5.0%,2.0,20.0,60,0.935,False,,,,,,,
4h,both,0.25,1.0xATR,0.5,0.0,282,0.993,False,,,,,,,
4h,both,0.25,1.0xATR,0.5,10.0,170,0.857,False,,,,,,,
4h,both,0.25,1.0xATR,0.5,20.0,260,0.949,False,,,,,,,
4h,both,0.25,1.0xATR,2.0,0.0,238,1.025,True,0.704,240.0,0.039,230.0,0.873,2.3,-7.77
4h,both,0.25,1.0xATR,2.0,10.0,126,0.944,False,,,,,,,
4h,both,0.25,1.0xATR,2.0,20.0,216,0.988,False,,,,,,,
4h,both,0.25,2.0xATR,0.5,0.0,241,0.952,False,,,,,,,
4h,both,0.25,2.0xATR,0.5,10.0,153,0.902,False,,,,,,,
4h,both,0.25,2.0xATR,0.5,20.0,225,0.836,False,,,,,,,
4h,both,0.25,2.0xATR,2.0,0.0,203,0.97,False,,,,,,,
4h,both,0.25,2.0xATR,2.0,10.0,115,0.96,False,,,,,,,
4h,both,0.25,2.0xATR,2.0,20.0,187,0.854,False,,,,,,,
4h,both,0.25,3.0xATR,0.5,0.0,222,0.896,False,,,,,,,
4h,both,0.25,3.0xATR,0.5,10.0,145,0.928,False,,,,,,,
4h,both,0.25,3.0xATR,0.5,20.0,207,0.802,False,,,,,,,
4h,both,0.25,3.0xATR,2.0,0.0,184,0.922,False,,,,,,,
4h,both,0.25,3.0xATR,2.0,10.0,107,1.025,True,1.173,151.0,0.021,134.0,1.092,1.1,-10.78
4h,both,0.25,3.0xATR,2.0,20.0,169,0.829,False,,,,,,,
4h,both,0.25,3.0%,0.5,0.0,265,0.972,False,,,,,,,
4h,both,0.25,3.0%,0.5,10.0,155,0.901,False,,,,,,,
4h,both,0.25,3.0%,0.5,20.0,239,0.915,False,,,,,,,
4h,both,0.25,3.0%,2.0,0.0,227,1.003,True,0.725,200.0,0.036,202.0,0.864,2.3,-3.27
4h,both,0.25,3.0%,2.0,10.0,117,0.992,False,,,,,,,
4h,both,0.25,3.0%,2.0,20.0,201,0.951,False,,,,,,,
4h,both,0.25,5.0%,0.5,0.0,241,0.938,False,,,,,,,
4h,both,0.25,5.0%,0.5,10.0,144,0.932,False,,,,,,,
4h,both,0.25,5.0%,0.5,20.0,219,0.878,False,,,,,,,
4h,both,0.25,5.0%,2.0,0.0,204,0.969,False,,,,,,,
4h,both,0.25,5.0%,2.0,10.0,107,1.041,True,1.069,145.0,0.021,136.0,1.045,1.1,-5.16
4h,both,0.25,5.0%,2.0,20.0,182,0.914,False,,,,,,,
4h,both,0.5,1.0xATR,0.5,0.0,258,1.019,True,0.671,308.0,0.036,301.0,0.836,3.6,-7.77
4h,both,0.5,1.0xATR,0.5,10.0,160,1.01,True,0.866,263.0,0.013,250.0,0.91,1.6,-3.77
4h,both,0.5,1.0xATR,0.5,20.0,241,0.933,False,,,,,,,
4h,both,0.5,1.0xATR,2.0,0.0,218,1.04,True,0.682,238.0,0.057,219.0,0.856,3.7,-7.77
4h,both,0.5,1.0xATR,2.0,10.0,120,1.07,True,0.913,193.0,0.023,168.0,0.961,1.7,-3.77
4h,both,0.5,1.0xATR,2.0,20.0,201,0.954,False,,,,,,,
4h,both,0.5,2.0xATR,0.5,0.0,210,0.952,False,,,,,,,
4h,both,0.5,2.0xATR,0.5,10.0,137,0.991,False,,,,,,,
4h,both,0.5,2.0xATR,0.5,20.0,198,0.81,False,,,,,,,
4h,both,0.5,2.0xATR,2.0,0.0,176,0.958,False,,,,,,,
4h,both,0.5,2.0xATR,2.0,10.0,103,1.01,True,1.065,155.0,0.031,133.0,1.025,1.5,-7.43
4h,both,0.5,2.0xATR,2.0,20.0,164,0.813,False,,,,,,,
4h,both,0.5,3.0xATR,0.5,0.0,184,0.908,False,,,,,,,
4h,both,0.5,3.0xATR,0.5,10.0,125,0.947,False,,,,,,,
4h,both,0.5,3.0xATR,0.5,20.0,173,0.782,False,,,,,,,
4h,both,0.5,3.0xATR,2.0,0.0,150,0.92,False,,,,,,,
4h,both,0.5,3.0xATR,2.0,10.0,91,0.987,False,,,,,,,
4h,both,0.5,3.0xATR,2.0,20.0,139,0.792,False,,,,,,,
4h,both,0.5,3.0%,0.5,0.0,246,1.02,True,0.678,249.0,0.03,259.0,0.834,3.4,-3.31
4h,both,0.5,3.0%,0.5,10.0,143,1.009,True,0.874,216.0,0.015,204.0,0.914,1.4,-3.18
4h,both,0.5,3.0%,0.5,20.0,221,0.937,False,,,,,,,
4h,both,0.5,3.0%,2.0,0.0,212,1.035,True,0.731,186.0,0.048,192.0,0.873,3.5,-3.31
4h,both,0.5,3.0%,2.0,10.0,109,1.051,True,0.999,153.0,0.027,137.0,1.006,1.5,-3.18
4h,both,0.5,3.0%,2.0,20.0,187,0.953,False,,,,,,,
4h,both,0.5,5.0%,0.5,0.0,208,0.939,False,,,,,,,
4h,both,0.5,5.0%,0.5,10.0,126,0.959,False,,,,,,,
4h,both,0.5,5.0%,0.5,20.0,189,0.87,False,,,,,,,
4h,both,0.5,5.0%,2.0,0.0,175,0.954,False,,,,,,,
4h,both,0.5,5.0%,2.0,10.0,93,1.006,True,1.066,128.0,0.03,127.0,1.023,1.5,-5.18
4h,both,0.5,5.0%,2.0,20.0,156,0.885,False,,,,,,,
4h,both,0.75,1.0xATR,0.5,0.0,250,0.924,False,,,,,,,
4h,both,0.75,1.0xATR,0.5,10.0,157,0.844,False,,,,,,,
4h,both,0.75,1.0xATR,0.5,20.0,235,0.956,False,,,,,,,
4h,both,0.75,1.0xATR,2.0,0.0,211,0.941,False,,,,,,,
4h,both,0.75,1.0xATR,2.0,10.0,118,0.879,False,,,,,,,
4h,both,0.75,1.0xATR,2.0,20.0,196,0.977,False,,,,,,,
4h,both,0.75,2.0xATR,0.5,0.0,197,0.809,False,,,,,,,
4h,both,0.75,2.0xATR,0.5,10.0,131,0.765,False,,,,,,,
4h,both,0.75,2.0xATR,0.5,20.0,188,0.764,False,,,,,,,
4h,both,0.75,2.0xATR,2.0,0.0,165,0.81,False,,,,,,,
4h,both,0.75,2.0xATR,2.0,10.0,99,0.765,False,,,,,,,
4h,both,0.75,2.0xATR,2.0,20.0,156,0.764,False,,,,,,,
4h,both,0.75,3.0xATR,0.5,0.0,166,0.789,False,,,,,,,
4h,both,0.75,3.0xATR,0.5,10.0,116,0.783,False,,,,,,,
4h,both,0.75,3.0xATR,0.5,20.0,159,0.738,False,,,,,,,
4h,both,0.75,3.0xATR,2.0,0.0,136,0.791,False,,,,,,,
4h,both,0.75,3.0xATR,2.0,10.0,86,0.788,False,,,,,,,
4h,both,0.75,3.0xATR,2.0,20.0,129,0.738,False,,,,,,,
4h,both,0.75,3.0%,0.5,0.0,237,0.881,False,,,,,,,
4h,both,0.75,3.0%,0.5,10.0,137,0.796,False,,,,,,,
4h,both,0.75,3.0%,0.5,20.0,212,0.927,False,,,,,,,
4h,both,0.75,3.0%,2.0,0.0,206,0.884,False,,,,,,,
4h,both,0.75,3.0%,2.0,10.0,106,0.799,False,,,,,,,
4h,both,0.75,3.0%,2.0,20.0,181,0.933,False,,,,,,,
4h,both,0.75,5.0%,0.5,0.0,195,0.806,False,,,,,,,
4h,both,0.75,5.0%,0.5,10.0,119,0.768,False,,,,,,,
4h,both,0.75,5.0%,0.5,20.0,178,0.829,False,,,,,,,
4h,both,0.75,5.0%,2.0,0.0,165,0.81,False,,,,,,,
4h,both,0.75,5.0%,2.0,10.0,89,0.776,False,,,,,,,
4h,both,0.75,5.0%,2.0,20.0,148,0.835,False,,,,,,,
