year,trades,win_rate,net_pnl,avg_pct
2017,3,0.0,-236.87,-0.79
2018,9,0.0,-675.04,-0.75
2019,8,12.5,2216.25,2.77
2020,7,28.6,3539.47,5.056
2021,7,14.3,2214.71,3.164
2022,12,0.0,-878.62,-0.732
2023,6,0.0,-439.99,-0.733
2024,10,0.0,-728.86,-0.729
2025,10,10.0,-163.01,-0.163
2026,10,0.0,-727.54,-0.728
