label,timeframe,start,end,years,trades,wins,losses,win_rate,profit_factor,net_profit,net_profit_pct,cagr_pct,max_dd_pct,sharpe,avg_trade_pct,avg_win_pct,avg_loss_pct,tp_exits,sl_exits,long_trades,long_wr,long_pnl,short_trades,short_wr,short_pnl,exposure_pct,avg_bars_held
1d Pine defaults 2017+,1d,2017-01-01,2026-09-10,9.69,95,8,87,8.42,0.659,-3832.71,-3.83,-0.4,-7.84,-0.26,-0.0298,11.412,-1.082,10,85,47,12.8,-503.62,48,4.2,-3329.09,8.76,3.3
1d Pine defaults 2012+,1d,2012-01-01,2026-09-10,14.69,106,11,95,10.38,0.668,-3993.68,-3.99,-0.28,-7.85,-0.22,-0.6743,16.997,-2.72,15,91,50,14.0,-499.02,56,7.1,-3494.66,15.07,7.6
1w Pine defaults 2017+,1w,2017-01-02,2026-09-07,9.68,13,1,12,7.69,0.013,-1564.0,-1.56,-0.16,-1.56,-2.92,-1.0293,0.071,-1.121,1,12,1,100.0,20.0,12,0.0,-1584.0,2.77,1.1
1w Pine defaults 2012+,1w,2012-01-02,2026-09-07,14.68,13,1,12,7.69,0.013,-1564.0,-1.56,-0.11,-1.56,-2.36,-1.0293,0.071,-1.121,1,12,1,100.0,20.0,12,0.0,-1584.0,1.83,1.1
