label,timeframe,start,end,years,trades,wins,losses,win_rate,profit_factor,net_profit,net_profit_pct,cagr_pct,max_dd_pct,sharpe,avg_trade_pct,avg_win_pct,avg_loss_pct,tp_exits,sl_exits,long_trades,long_wr,long_pnl,short_trades,short_wr,short_pnl,exposure_pct,avg_bars_held
Pine defaults · weeks open Monday,1w,2012-01-02,2026-09-07,14.68,13,1,12,7.69,0.013,-1564.0,-1.56,-0.11,-1.56,-2.36,-1.0293,0.071,-1.121,1,12,1,100.0,20.0,12,0.0,-1584.0,1.83,1.1
"SMA 10/40, 5% stop · weeks open Monday",1w,2012-01-02,2026-09-07,14.68,50,17,33,34.0,1.602,12414.57,12.41,0.8,-5.44,0.91,2.4829,19.434,-6.249,19,31,19,42.1,6661.99,31,29.0,5752.57,14.34,2.2
Pine defaults · weeks open Sunday,1w-sun,2012-01-01,2026-09-06,14.68,9,1,8,11.11,0.005,-924.01,-0.92,-0.06,-0.92,-1.86,-0.5737,0.019,-0.648,2,7,1,100.0,5.0,8,0.0,-929.01,1.17,1.0
"SMA 10/40, 5% stop · weeks open Sunday",1w-sun,2012-01-01,2026-09-06,14.68,51,14,37,27.45,1.088,2002.89,2.0,0.14,-5.56,0.18,0.3927,17.684,-6.15,16,35,20,35.0,5150.68,31,22.6,-3147.79,15.91,2.4
