label,timeframe,start,end,years,trades,wins,losses,win_rate,profit_factor,net_profit,net_profit_pct,cagr_pct,max_dd_pct,sharpe,avg_trade_pct,avg_win_pct,avg_loss_pct,tp_exits,sl_exits,long_trades,long_wr,long_pnl,short_trades,short_wr,short_pnl,exposure_pct,avg_bars_held
in-sample 2017-2021,1d,2017-01-01,2021-12-31,5.0,38,4,34,10.53,3.563,6696.57,6.7,1.31,-1.43,0.87,1.7623,23.274,-0.768,4,34,14,28.6,8552.32,24,0.0,-1855.75,7.39,3.6
OOS forward 2022-2026,1d,2022-01-01,2026-09-10,4.69,48,1,47,2.08,0.143,-2938.06,-2.94,-0.63,-3.33,-0.79,-0.6121,4.915,-0.73,1,47,25,0.0,-1825.44,23,4.3,-1112.62,6.77,2.4
OOS backward 2012-2016,1d,2012-01-01,2016-12-31,5.0,38,1,37,2.63,0.175,-18242.54,-18.24,-3.95,-19.27,-1.17,-4.8007,38.607,-5.974,1,37,11,0.0,-1747.78,27,3.7,-16494.76,3.12,1.5
full 2012-2026,1d,2012-01-01,2026-09-10,14.69,124,6,118,4.84,0.485,-14484.03,-14.48,-1.06,-19.68,-0.45,-1.1681,22.769,-2.385,6,118,50,8.0,4979.1,74,2.7,-19463.13,5.74,2.5
