tf,dir,retrace,stop,sep_min,sep_max,is_trades,is_pf,passed_is,oos_fwd_pf,oos_fwd_trades,oos_back_pf,oos_back_trades,pf_wo_best,top1_share,worst_trade_pct,oos_pf,oos_trades
1h,both,0.5,5.0%,2.0,10.0,417,0.591,False,,,,,,,,0.799,265
1h,both,0.5,5.0%,2.0,20.0,481,0.653,False,,,,,,,,0.768,274
1h,both,0.75,1.0xATR,0.5,0.0,1139,0.719,False,,,,,,,,0.726,1067
1h,both,0.75,1.0xATR,0.5,10.0,1047,0.686,False,,,,,,,,0.751,1047
1h,both,0.75,1.0xATR,0.5,20.0,1137,0.708,False,,,,,,,,0.731,1066
1h,both,0.75,1.0xATR,2.0,0.0,845,0.724,False,,,,,,,,0.717,576
1h,both,0.75,1.0xATR,2.0,10.0,753,0.686,False,,,,,,,,0.752,556
1h,both,0.75,1.0xATR,2.0,20.0,843,0.711,False,,,,,,,,0.724,575
1h,both,0.75,2.0xATR,0.5,0.0,835,0.74,False,,,,,,,,0.822,776
1h,both,0.75,2.0xATR,0.5,10.0,779,0.696,False,,,,,,,,0.845,766
1h,both,0.75,2.0xATR,0.5,20.0,833,0.734,False,,,,,,,,0.832,775
1h,both,0.75,2.0xATR,2.0,0.0,589,0.751,False,,,,,,,,0.796,399
1h,both,0.75,2.0xATR,2.0,10.0,533,0.703,False,,,,,,,,0.83,388
1h,both,0.75,2.0xATR,2.0,20.0,587,0.745,False,,,,,,,,0.809,398
1h,both,0.75,3.0xATR,0.5,0.0,708,0.694,False,,,,,,,,0.854,649
1h,both,0.75,3.0xATR,0.5,10.0,666,0.675,False,,,,,,,,0.9,641
1h,both,0.75,3.0xATR,0.5,20.0,706,0.69,False,,,,,,,,0.871,648
1h,both,0.75,3.0xATR,2.0,0.0,483,0.708,False,,,,,,,,0.827,325
1h,both,0.75,3.0xATR,2.0,10.0,441,0.691,False,,,,,,,,0.887,317
1h,both,0.75,3.0xATR,2.0,20.0,481,0.705,False,,,,,,,,0.848,324
1h,both,0.75,3.0%,0.5,0.0,771,0.692,False,,,,,,,,0.838,584
1h,both,0.75,3.0%,0.5,10.0,693,0.665,False,,,,,,,,0.864,570
1h,both,0.75,3.0%,0.5,20.0,767,0.7,False,,,,,,,,0.844,583
1h,both,0.75,3.0%,2.0,0.0,561,0.697,False,,,,,,,,0.83,304
1h,both,0.75,3.0%,2.0,10.0,483,0.667,False,,,,,,,,0.865,290
1h,both,0.75,3.0%,2.0,20.0,557,0.706,False,,,,,,,,0.837,303
1h,both,0.75,5.0%,0.5,0.0,634,0.699,False,,,,,,,,0.84,501
1h,both,0.75,5.0%,0.5,10.0,576,0.668,False,,,,,,,,0.877,491
1h,both,0.75,5.0%,0.5,20.0,631,0.695,False,,,,,,,,0.85,500
1h,both,0.75,5.0%,2.0,0.0,441,0.707,False,,,,,,,,0.844,249
1h,both,0.75,5.0%,2.0,10.0,383,0.673,False,,,,,,,,0.895,240
1h,both,0.75,5.0%,2.0,20.0,438,0.702,False,,,,,,,,0.857,248
1h,both,1.0,1.0xATR,0.5,0.0,1114,0.702,False,,,,,,,,0.783,1051
1h,both,1.0,1.0xATR,0.5,10.0,1024,0.675,False,,,,,,,,0.803,1031
1h,both,1.0,1.0xATR,0.5,20.0,1112,0.691,False,,,,,,,,0.787,1050
1h,both,1.0,1.0xATR,2.0,0.0,833,0.703,False,,,,,,,,0.784,574
1h,both,1.0,1.0xATR,2.0,10.0,743,0.672,False,,,,,,,,0.814,554
1h,both,1.0,1.0xATR,2.0,20.0,831,0.69,False,,,,,,,,0.79,573
1h,both,1.0,2.0xATR,0.5,0.0,799,0.715,False,,,,,,,,0.889,748
1h,both,1.0,2.0xATR,0.5,10.0,746,0.676,False,,,,,,,,0.909,739
1h,both,1.0,2.0xATR,0.5,20.0,797,0.709,False,,,,,,,,0.899,747
1h,both,1.0,2.0xATR,2.0,0.0,571,0.726,False,,,,,,,,0.878,393
1h,both,1.0,2.0xATR,2.0,10.0,518,0.683,False,,,,,,,,0.909,382
1h,both,1.0,2.0xATR,2.0,20.0,569,0.719,False,,,,,,,,0.892,392
1h,both,1.0,3.0xATR,0.5,0.0,662,0.678,False,,,,,,,,0.923,611
1h,both,1.0,3.0xATR,0.5,10.0,623,0.654,False,,,,,,,,0.967,604
1h,both,1.0,3.0xATR,0.5,20.0,660,0.674,False,,,,,,,,0.94,610
1h,both,1.0,3.0xATR,2.0,0.0,461,0.691,False,,,,,,,,0.91,318
1h,both,1.0,3.0xATR,2.0,10.0,422,0.667,False,,,,,,,,0.968,310
1h,both,1.0,3.0xATR,2.0,20.0,459,0.687,False,,,,,,,,0.932,317
1h,both,1.0,3.0%,0.5,0.0,730,0.668,False,,,,,,,,0.887,548
1h,both,1.0,3.0%,0.5,10.0,654,0.646,False,,,,,,,,0.907,535
1h,both,1.0,3.0%,0.5,20.0,726,0.676,False,,,,,,,,0.892,547
1h,both,1.0,3.0%,2.0,0.0,542,0.668,False,,,,,,,,0.894,298
1h,both,1.0,3.0%,2.0,10.0,466,0.643,False,,,,,,,,0.922,284
1h,both,1.0,3.0%,2.0,20.0,538,0.677,False,,,,,,,,0.901,297
1h,both,1.0,5.0%,0.5,0.0,586,0.68,False,,,,,,,,0.913,463
1h,both,1.0,5.0%,0.5,10.0,531,0.652,False,,,,,,,,0.948,454
1h,both,1.0,5.0%,0.5,20.0,583,0.675,False,,,,,,,,0.923,462
1h,both,1.0,5.0%,2.0,0.0,417,0.691,False,,,,,,,,0.945,242
1h,both,1.0,5.0%,2.0,10.0,362,0.661,False,,,,,,,,0.995,233
1h,both,1.0,5.0%,2.0,20.0,414,0.686,False,,,,,,,,0.959,241
4h,long only,0.25,1.0xATR,0.5,0.0,134,1.035,True,0.738,160.0,0.02,146.0,0.859,4.8,-7.47,0.738,160
4h,long only,0.25,1.0xATR,0.5,10.0,86,0.798,False,,,,,,,,1.069,135
4h,long only,0.25,1.0xATR,0.5,20.0,122,1.013,True,0.903,155.0,0.016,139.0,0.936,2.5,-5.67,0.903,155
4h,long only,0.25,1.0xATR,2.0,0.0,102,1.084,True,0.768,117.0,0.033,109.0,0.898,5.0,-7.47,0.768,117
4h,long only,0.25,1.0xATR,2.0,10.0,54,0.91,False,,,,,,,,1.188,92
4h,long only,0.25,1.0xATR,2.0,20.0,90,1.081,True,0.958,112.0,0.027,102.0,0.996,2.6,-5.67,0.958,112
4h,long only,0.25,2.0xATR,0.5,0.0,114,0.842,False,,,,,,,,0.734,141
4h,long only,0.25,2.0xATR,0.5,10.0,77,0.675,False,,,,,,,,0.91,123
4h,long only,0.25,2.0xATR,0.5,20.0,106,0.867,False,,,,,,,,0.847,140
4h,long only,0.25,2.0xATR,2.0,0.0,87,0.862,False,,,,,,,,0.757,100
4h,long only,0.25,2.0xATR,2.0,10.0,50,0.714,False,,,,,,,,0.976,82
4h,long only,0.25,2.0xATR,2.0,20.0,79,0.894,False,,,,,,,,0.884,99
4h,long only,0.25,3.0xATR,0.5,0.0,105,0.747,False,,,,,,,,0.892,129
4h,long only,0.25,3.0xATR,0.5,10.0,74,0.55,False,,,,,,,,0.939,117
4h,long only,0.25,3.0xATR,0.5,20.0,98,0.777,False,,,,,,,,0.968,129
4h,long only,0.25,3.0xATR,2.0,0.0,78,0.773,False,,,,,,,,0.974,88
4h,long only,0.25,3.0xATR,2.0,10.0,47,0.592,False,,,,,,,,1.073,76
4h,long only,0.25,3.0xATR,2.0,20.0,71,0.814,False,,,,,,,,1.068,88
4h,long only,0.25,3.0%,0.5,0.0,125,0.905,False,,,,,,,,0.665,144
4h,long only,0.25,3.0%,0.5,10.0,78,0.688,False,,,,,,,,0.933,122
4h,long only,0.25,3.0%,0.5,20.0,111,0.88,False,,,,,,,,0.771,139
4h,long only,0.25,3.0%,2.0,0.0,98,0.942,False,,,,,,,,0.699,103
4h,long only,0.25,3.0%,2.0,10.0,51,0.757,False,,,,,,,,1.05,81
4h,long only,0.25,3.0%,2.0,20.0,84,0.928,False,,,,,,,,0.823,98
4h,long only,0.25,5.0%,0.5,0.0,115,0.893,False,,,,,,,,0.712,131
4h,long only,0.25,5.0%,0.5,10.0,73,0.602,False,,,,,,,,0.865,114
4h,long only,0.25,5.0%,0.5,20.0,103,0.849,False,,,,,,,,0.92,126
4h,long only,0.25,5.0%,2.0,0.0,89,0.919,False,,,,,,,,0.796,90
4h,long only,0.25,5.0%,2.0,10.0,47,0.64,False,,,,,,,,1.072,73
4h,long only,0.25,5.0%,2.0,20.0,77,0.882,False,,,,,,,,1.08,85
4h,long only,0.5,1.0xATR,0.5,0.0,120,0.954,False,,,,,,,,0.807,157
4h,long only,0.5,1.0xATR,0.5,10.0,81,1.012,True,1.038,132.0,0.007,118.0,0.994,3.3,-3.66,1.038,132
4h,long only,0.5,1.0xATR,0.5,20.0,110,0.888,False,,,,,,,,0.937,152
4h,long only,0.5,1.0xATR,2.0,0.0,92,0.978,False,,,,,,,,0.835,116
4h,long only,0.5,1.0xATR,2.0,10.0,53,1.095,True,1.127,91.0,0.012,81.0,1.074,3.6,-3.66,1.127,91
4h,long only,0.5,1.0xATR,2.0,20.0,82,0.916,False,,,,,,,,0.986,111
4h,long only,0.5,2.0xATR,0.5,0.0,98,0.826,False,,,,,,,,0.864,128
4h,long only,0.5,2.0xATR,0.5,10.0,71,0.867,False,,,,,,,,1.078,111
4h,long only,0.5,2.0xATR,0.5,20.0,91,0.764,False,,,,,,,,0.966,127
4h,long only,0.5,2.0xATR,2.0,0.0,75,0.825,False,,,,,,,,0.891,92
4h,long only,0.5,2.0xATR,2.0,10.0,48,0.87,False,,,,,,,,1.159,75
4h,long only,0.5,2.0xATR,2.0,20.0,68,0.761,False,,,,,,,,1.007,91
4h,long only,0.5,3.0xATR,0.5,0.0,88,0.761,False,,,,,,,,0.989,112
4h,long only,0.5,3.0xATR,0.5,10.0,68,0.668,False,,,,,,,,1.052,102
4h,long only,0.5,3.0xATR,0.5,20.0,82,0.715,False,,,,,,,,1.062,112
4h,long only,0.5,3.0xATR,2.0,0.0,65,0.768,False,,,,,,,,1.093,77
4h,long only,0.5,3.0xATR,2.0,10.0,45,0.675,False,,,,,,,,1.221,67
4h,long only,0.5,3.0xATR,2.0,20.0,59,0.722,False,,,,,,,,1.185,77
4h,long only,0.5,3.0%,0.5,0.0,115,0.906,False,,,,,,,,0.759,131
4h,long only,0.5,3.0%,0.5,10.0,73,0.878,False,,,,,,,,1.003,109
4h,long only,0.5,3.0%,0.5,20.0,101,0.83,False,,,,,,,,0.849,126
4h,long only,0.5,3.0%,2.0,0.0,92,0.917,False,,,,,,,,0.805,96
4h,long only,0.5,3.0%,2.0,10.0,50,0.902,False,,,,,,,,1.136,74
4h,long only,0.5,3.0%,2.0,20.0,78,0.84,False,,,,,,,,0.913,91
4h,long only,0.5,5.0%,0.5,0.0,97,0.882,False,,,,,,,,0.794,114
4h,long only,0.5,5.0%,0.5,10.0,67,0.724,False,,,,,,,,0.912,99
4h,long only,0.5,5.0%,0.5,20.0,86,0.864,False,,,,,,,,0.958,109
4h,long only,0.5,5.0%,2.0,0.0,75,0.887,False,,,,,,,,0.874,79
4h,long only,0.5,5.0%,2.0,10.0,45,0.725,False,,,,,,,,1.078,64
4h,long only,0.5,5.0%,2.0,20.0,64,0.871,False,,,,,,,,1.092,74
4h,long only,0.75,1.0xATR,0.5,0.0,115,0.902,False,,,,,,,,0.757,155
4h,long only,0.75,1.0xATR,0.5,10.0,80,0.787,False,,,,,,,,0.929,131
4h,long only,0.75,1.0xATR,0.5,20.0,107,0.812,False,,,,,,,,0.856,150
4h,long only,0.75,1.0xATR,2.0,0.0,88,0.926,False,,,,,,,,0.792,115
4h,long only,0.75,1.0xATR,2.0,10.0,53,0.825,False,,,,,,,,1.019,91
4h,long only,0.75,1.0xATR,2.0,20.0,80,0.834,False,,,,,,,,0.912,110
4h,long only,0.75,2.0xATR,0.5,0.0,93,0.737,False,,,,,,,,0.816,122
4h,long only,0.75,2.0xATR,0.5,10.0,69,0.654,False,,,,,,,,0.943,106
4h,long only,0.75,2.0xATR,0.5,20.0,87,0.689,False,,,,,,,,0.892,121
4h,long only,0.75,2.0xATR,2.0,0.0,71,0.734,False,,,,,,,,0.848,88
4h,long only,0.75,2.0xATR,2.0,10.0,47,0.641,False,,,,,,,,1.015,72
4h,long only,0.75,2.0xATR,2.0,20.0,65,0.683,False,,,,,,,,0.937,87
4h,long only,0.75,3.0xATR,0.5,0.0,79,0.735,False,,,,,,,,0.948,102
4h,long only,0.75,3.0xATR,0.5,10.0,63,0.621,False,,,,,,,,0.95,92
4h,long only,0.75,3.0xATR,0.5,20.0,74,0.71,False,,,,,,,,1.014,102
4h,long only,0.75,3.0xATR,2.0,0.0,59,0.732,False,,,,,,,,1.05,70
4h,long only,0.75,3.0xATR,2.0,10.0,43,0.606,False,,,,,,,,1.091,60
4h,long only,0.75,3.0xATR,2.0,20.0,54,0.704,False,,,,,,,,1.131,70
4h,long only,0.75,3.0%,0.5,0.0,110,0.808,False,,,,,,,,0.709,125
4h,long only,0.75,3.0%,0.5,10.0,70,0.752,False,,,,,,,,0.879,104
4h,long only,0.75,3.0%,0.5,20.0,96,0.8,False,,,,,,,,0.777,120
4h,long only,0.75,3.0%,2.0,0.0,89,0.803,False,,,,,,,,0.757,92
4h,long only,0.75,3.0%,2.0,10.0,49,0.738,False,,,,,,,,0.992,71
4h,long only,0.75,3.0%,2.0,20.0,75,0.794,False,,,,,,,,0.841,87
4h,long only,0.75,5.0%,0.5,0.0,90,0.775,False,,,,,,,,0.825,105
4h,long only,0.75,5.0%,0.5,10.0,64,0.589,False,,,,,,,,0.88,90
4h,long only,0.75,5.0%,0.5,20.0,80,0.756,False,,,,,,,,0.971,100
4h,long only,0.75,5.0%,2.0,0.0,70,0.768,False,,,,,,,,0.927,73
4h,long only,0.75,5.0%,2.0,10.0,44,0.566,False,,,,,,,,1.054,58
4h,long only,0.75,5.0%,2.0,20.0,60,0.746,False,,,,,,,,1.128,68
4h,long only,1.0,1.0xATR,0.5,0.0,113,1.134,True,0.801,150.0,0.046,138.0,0.903,7.5,-7.47,0.801,150
4h,long only,1.0,1.0xATR,0.5,10.0,78,0.973,False,,,,,,,,0.981,129
4h,long only,1.0,1.0xATR,0.5,20.0,105,1.019,True,0.904,145.0,0.03,131.0,0.926,3.8,-5.67,0.904,145
4h,long only,1.0,1.0xATR,2.0,0.0,88,1.182,True,0.816,111.0,0.074,101.0,0.933,7.9,-7.47,0.816,111
4h,long only,1.0,1.0xATR,2.0,10.0,53,1.056,True,1.04,89.0,0.016,81.0,0.998,4.7,-4.73,1.04,89
4h,long only,1.0,1.0xATR,2.0,20.0,80,1.069,True,0.936,106.0,0.05,94.0,0.964,4.1,-5.67,0.936,106
4h,long only,1.0,2.0xATR,0.5,0.0,89,0.924,False,,,,,,,,0.774,116
4h,long only,1.0,2.0xATR,0.5,10.0,65,0.799,False,,,,,,,,1.021,102
4h,long only,1.0,2.0xATR,0.5,20.0,83,0.864,False,,,,,,,,0.843,115
4h,long only,1.0,2.0xATR,2.0,0.0,71,0.933,False,,,,,,,,0.777,83
4h,long only,1.0,2.0xATR,2.0,10.0,47,0.809,False,,,,,,,,1.068,68
4h,long only,1.0,2.0xATR,2.0,20.0,65,0.873,False,,,,,,,,0.854,82
4h,long only,1.0,3.0xATR,0.5,0.0,75,0.915,False,,,,,,,,0.889,95
4h,long only,1.0,3.0xATR,0.5,10.0,59,0.751,False,,,,,,,,1.001,88
4h,long only,1.0,3.0xATR,0.5,20.0,70,0.881,False,,,,,,,,0.894,95
4h,long only,1.0,3.0xATR,2.0,0.0,59,0.924,False,,,,,,,,0.953,64
4h,long only,1.0,3.0xATR,2.0,10.0,43,0.756,False,,,,,,,,1.113,56
4h,long only,1.0,3.0xATR,2.0,20.0,54,0.89,False,,,,,,,,0.959,64
4h,long only,1.0,3.0%,0.5,0.0,106,1.012,True,0.733,118.0,0.035,122.0,0.81,7.6,-3.18,0.733,118
4h,long only,1.0,3.0%,0.5,10.0,66,0.914,False,,,,,,,,0.948,99
4h,long only,1.0,3.0%,0.5,20.0,92,0.999,False,,,,,,,,0.802,113
4h,long only,1.0,3.0%,2.0,0.0,89,1.02,True,0.762,86.0,0.055,88.0,0.829,8.0,-3.18,0.762,86
4h,long only,1.0,3.0%,2.0,10.0,49,0.924,False,,,,,,,,1.041,66
4h,long only,1.0,3.0%,2.0,20.0,75,1.009,True,0.845,81.0,0.061,81.0,0.883,4.9,-3.18,0.845,81
4h,long only,1.0,5.0%,0.5,0.0,86,0.959,False,,,,,,,,0.75,97
4h,long only,1.0,5.0%,0.5,10.0,60,0.704,False,,,,,,,,0.942,85
4h,long only,1.0,5.0%,0.5,20.0,76,0.931,False,,,,,,,,0.874,92
4h,long only,1.0,5.0%,2.0,0.0,70,0.963,False,,,,,,,,0.813,66
4h,long only,1.0,5.0%,2.0,10.0,44,0.699,False,,,,,,,,1.095,53
4h,long only,1.0,5.0%,2.0,20.0,60,0.935,False,,,,,,,,0.975,61
4h,both,0.25,1.0xATR,0.5,0.0,282,0.993,False,,,,,,,,0.67,312
4h,both,0.25,1.0xATR,0.5,10.0,170,0.857,False,,,,,,,,0.862,267
4h,both,0.25,1.0xATR,0.5,20.0,260,0.949,False,,,,,,,,0.733,307
4h,both,0.25,1.0xATR,2.0,0.0,238,1.025,True,0.704,240.0,0.039,230.0,0.873,2.3,-7.77,0.704,240
4h,both,0.25,1.0xATR,2.0,10.0,126,0.944,False,,,,,,,,0.95,195
4h,both,0.25,1.0xATR,2.0,20.0,216,0.988,False,,,,,,,,0.777,235
4h,both,0.25,2.0xATR,0.5,0.0,241,0.952,False,,,,,,,,0.7,265
4h,both,0.25,2.0xATR,0.5,10.0,153,0.902,False,,,,,,,,0.865,236
4h,both,0.25,2.0xATR,0.5,20.0,225,0.836,False,,,,,,,,0.751,264
4h,both,0.25,2.0xATR,2.0,0.0,203,0.97,False,,,,,,,,0.753,196
4h,both,0.25,2.0xATR,2.0,10.0,115,0.96,False,,,,,,,,0.984,167
4h,both,0.25,2.0xATR,2.0,20.0,187,0.854,False,,,,,,,,0.814,195
4h,both,0.25,3.0xATR,0.5,0.0,222,0.896,False,,,,,,,,0.829,239
4h,both,0.25,3.0xATR,0.5,10.0,145,0.928,False,,,,,,,,0.96,218
4h,both,0.25,3.0xATR,0.5,20.0,207,0.802,False,,,,,,,,0.862,239
4h,both,0.25,3.0xATR,2.0,0.0,184,0.922,False,,,,,,,,0.939,172
4h,both,0.25,3.0xATR,2.0,10.0,107,1.025,True,1.173,151.0,0.021,134.0,1.092,1.1,-10.78,1.173,151
4h,both,0.25,3.0xATR,2.0,20.0,169,0.829,False,,,,,,,,0.982,172
4h,both,0.25,3.0%,0.5,0.0,265,0.972,False,,,,,,,,0.647,269
4h,both,0.25,3.0%,0.5,10.0,155,0.901,False,,,,,,,,0.778,235
4h,both,0.25,3.0%,0.5,20.0,239,0.915,False,,,,,,,,0.694,264
4h,both,0.25,3.0%,2.0,0.0,227,1.003,True,0.725,200.0,0.036,202.0,0.864,2.3,-3.27,0.725,200
4h,both,0.25,3.0%,2.0,10.0,117,0.992,False,,,,,,,,0.937,166
4h,both,0.25,3.0%,2.0,20.0,201,0.951,False,,,,,,,,0.787,195
4h,both,0.25,5.0%,0.5,0.0,241,0.938,False,,,,,,,,0.7,238
4h,both,0.25,5.0%,0.5,10.0,144,0.932,False,,,,,,,,0.804,212
4h,both,0.25,5.0%,0.5,20.0,219,0.878,False,,,,,,,,0.791,233
4h,both,0.25,5.0%,2.0,0.0,204,0.969,False,,,,,,,,0.834,171
4h,both,0.25,5.0%,2.0,10.0,107,1.041,True,1.069,145.0,0.021,136.0,1.045,1.1,-5.16,1.069,145
4h,both,0.25,5.0%,2.0,20.0,182,0.914,False,,,,,,,,0.972,166
4h,both,0.5,1.0xATR,0.5,0.0,258,1.019,True,0.671,308.0,0.036,301.0,0.836,3.6,-7.77,0.671,308
4h,both,0.5,1.0xATR,0.5,10.0,160,1.01,True,0.866,263.0,0.013,250.0,0.91,1.6,-3.77,0.866,263
4h,both,0.5,1.0xATR,0.5,20.0,241,0.933,False,,,,,,,,0.718,303
4h,both,0.5,1.0xATR,2.0,0.0,218,1.04,True,0.682,238.0,0.057,219.0,0.856,3.7,-7.77,0.682,238
4h,both,0.5,1.0xATR,2.0,10.0,120,1.07,True,0.913,193.0,0.023,168.0,0.961,1.7,-3.77,0.913,193
4h,both,0.5,1.0xATR,2.0,20.0,201,0.954,False,,,,,,,,0.735,233
4h,both,0.5,2.0xATR,0.5,0.0,210,0.952,False,,,,,,,,0.751,246
4h,both,0.5,2.0xATR,0.5,10.0,137,0.991,False,,,,,,,,0.973,219
4h,both,0.5,2.0xATR,0.5,20.0,198,0.81,False,,,,,,,,0.792,245
4h,both,0.5,2.0xATR,2.0,0.0,176,0.958,False,,,,,,,,0.785,182
4h,both,0.5,2.0xATR,2.0,10.0,103,1.01,True,1.065,155.0,0.031,133.0,1.025,1.5,-7.43,1.065,155
4h,both,0.5,2.0xATR,2.0,20.0,164,0.813,False,,,,,,,,0.833,181
4h,both,0.5,3.0xATR,0.5,0.0,184,0.908,False,,,,,,,,0.863,211
4h,both,0.5,3.0xATR,0.5,10.0,125,0.947,False,,,,,,,,1.008,195
4h,both,0.5,3.0xATR,0.5,20.0,173,0.782,False,,,,,,,,0.894,211
4h,both,0.5,3.0xATR,2.0,0.0,150,0.92,False,,,,,,,,0.943,150
4h,both,0.5,3.0xATR,2.0,10.0,91,0.987,False,,,,,,,,1.159,134
4h,both,0.5,3.0xATR,2.0,20.0,139,0.792,False,,,,,,,,0.982,150
4h,both,0.5,3.0%,0.5,0.0,246,1.02,True,0.678,249.0,0.03,259.0,0.834,3.4,-3.31,0.678,249
4h,both,0.5,3.0%,0.5,10.0,143,1.009,True,0.874,216.0,0.015,204.0,0.914,1.4,-3.18,0.874,216
4h,both,0.5,3.0%,0.5,20.0,221,0.937,False,,,,,,,,0.715,244
4h,both,0.5,3.0%,2.0,0.0,212,1.035,True,0.731,186.0,0.048,192.0,0.873,3.5,-3.31,0.731,186
4h,both,0.5,3.0%,2.0,10.0,109,1.051,True,0.999,153.0,0.027,137.0,1.006,1.5,-3.18,0.999,153
4h,both,0.5,3.0%,2.0,20.0,187,0.953,False,,,,,,,,0.777,181
4h,both,0.5,5.0%,0.5,0.0,208,0.939,False,,,,,,,,0.754,211
4h,both,0.5,5.0%,0.5,10.0,126,0.959,False,,,,,,,,0.882,189
4h,both,0.5,5.0%,0.5,20.0,189,0.87,False,,,,,,,,0.827,206
4h,both,0.5,5.0%,2.0,0.0,175,0.954,False,,,,,,,,0.85,150
4h,both,0.5,5.0%,2.0,10.0,93,1.006,True,1.066,128.0,0.03,127.0,1.023,1.5,-5.18,1.066,128
4h,both,0.5,5.0%,2.0,20.0,156,0.885,False,,,,,,,,0.952,145
4h,both,0.75,1.0xATR,0.5,0.0,250,0.924,False,,,,,,,,0.652,303
4h,both,0.75,1.0xATR,0.5,10.0,157,0.844,False,,,,,,,,0.818,259
4h,both,0.75,1.0xATR,0.5,20.0,235,0.956,False,,,,,,,,0.693,298
4h,both,0.75,1.0xATR,2.0,0.0,211,0.941,False,,,,,,,,0.66,235
4h,both,0.75,1.0xATR,2.0,10.0,118,0.879,False,,,,,,,,0.855,191
4h,both,0.75,1.0xATR,2.0,20.0,196,0.977,False,,,,,,,,0.705,230
4h,both,0.75,2.0xATR,0.5,0.0,197,0.809,False,,,,,,,,0.719,231
4h,both,0.75,2.0xATR,0.5,10.0,131,0.765,False,,,,,,,,0.88,205
4h,both,0.75,2.0xATR,0.5,20.0,188,0.764,False,,,,,,,,0.752,230
4h,both,0.75,2.0xATR,2.0,0.0,165,0.81,False,,,,,,,,0.739,171
4h,both,0.75,2.0xATR,2.0,10.0,99,0.765,False,,,,,,,,0.936,145
4h,both,0.75,2.0xATR,2.0,20.0,156,0.764,False,,,,,,,,0.777,170
4h,both,0.75,3.0xATR,0.5,0.0,166,0.789,False,,,,,,,,0.827,192
4h,both,0.75,3.0xATR,0.5,10.0,116,0.783,False,,,,,,,,0.905,176
4h,both,0.75,3.0xATR,0.5,20.0,159,0.738,False,,,,,,,,0.856,192
4h,both,0.75,3.0xATR,2.0,0.0,136,0.791,False,,,,,,,,0.886,136
4h,both,0.75,3.0xATR,2.0,10.0,86,0.788,False,,,,,,,,1.001,120
4h,both,0.75,3.0xATR,2.0,20.0,129,0.738,False,,,,,,,,0.92,136
4h,both,0.75,3.0%,0.5,0.0,237,0.881,False,,,,,,,,0.638,234
4h,both,0.75,3.0%,0.5,10.0,137,0.796,False,,,,,,,,0.789,202
4h,both,0.75,3.0%,0.5,20.0,212,0.927,False,,,,,,,,0.668,229
4h,both,0.75,3.0%,2.0,0.0,206,0.884,False,,,,,,,,0.675,175
4h,both,0.75,3.0%,2.0,10.0,106,0.799,False,,,,,,,,0.872,143
4h,both,0.75,3.0%,2.0,20.0,181,0.933,False,,,,,,,,0.711,170
4h,both,0.75,5.0%,0.5,0.0,195,0.806,False,,,,,,,,0.726,191
4h,both,0.75,5.0%,0.5,10.0,119,0.768,False,,,,,,,,0.787,169
4h,both,0.75,5.0%,0.5,20.0,178,0.829,False,,,,,,,,0.786,186
4h,both,0.75,5.0%,2.0,0.0,165,0.81,False,,,,,,,,0.804,135
4h,both,0.75,5.0%,2.0,10.0,89,0.776,False,,,,,,,,0.913,113
4h,both,0.75,5.0%,2.0,20.0,148,0.835,False,,,,,,,,0.884,130
4h,both,1.0,1.0xATR,0.5,0.0,239,0.996,False,,,,,,,,0.703,298
4h,both,1.0,1.0xATR,0.5,10.0,154,0.961,False,,,,,,,,0.877,257
4h,both,1.0,1.0xATR,0.5,20.0,224,1.001,True,0.745,293.0,0.024,272.0,0.855,2.8,-6.59,0.745,293
4h,both,1.0,1.0xATR,2.0,0.0,202,1.017,True,0.704,231.0,0.086,210.0,0.849,4.1,-7.88,0.704,231
4h,both,1.0,1.0xATR,2.0,10.0,117,1.009,True,0.909,189.0,0.022,162.0,0.93,2.4,-4.73,0.909,189
4h,both,1.0,1.0xATR,2.0,20.0,187,1.027,True,0.751,226.0,0.038,192.0,0.875,3.0,-6.59,0.751,226
4h,both,1.0,2.0xATR,0.5,0.0,190,0.858,False,,,,,,,,0.718,223
4h,both,1.0,2.0xATR,0.5,10.0,126,0.853,False,,,,,,,,0.936,199
4h,both,1.0,2.0xATR,0.5,20.0,181,0.784,False,,,,,,,,0.75,222
4h,both,1.0,2.0xATR,2.0,0.0,162,0.86,False,,,,,,,,0.73,165
4h,both,1.0,2.0xATR,2.0,10.0,98,0.859,False,,,,,,,,0.992,140
4h,both,1.0,2.0xATR,2.0,20.0,153,0.785,False,,,,,,,,0.766,164
4h,both,1.0,3.0xATR,0.5,0.0,156,0.873,False,,,,,,,,0.84,181
4h,both,1.0,3.0xATR,0.5,10.0,109,0.883,False,,,,,,,,0.97,168
4h,both,1.0,3.0xATR,0.5,20.0,149,0.794,False,,,,,,,,0.842,181
4h,both,1.0,3.0xATR,2.0,0.0,130,0.877,False,,,,,,,,0.882,127
4h,both,1.0,3.0xATR,2.0,10.0,83,0.894,False,,,,,,,,1.053,113
4h,both,1.0,3.0xATR,2.0,20.0,123,0.797,False,,,,,,,,0.885,127
4h,both,1.0,3.0%,0.5,0.0,226,0.942,False,,,,,,,,0.679,223
4h,both,1.0,3.0%,0.5,10.0,133,0.887,False,,,,,,,,0.856,193
4h,both,1.0,3.0%,0.5,20.0,201,0.969,False,,,,,,,,0.709,218
4h,both,1.0,3.0%,2.0,0.0,199,0.947,False,,,,,,,,0.71,166
4h,both,1.0,3.0%,2.0,10.0,106,0.895,False,,,,,,,,0.938,135
