timeframe,sep_pct,direction,sl_kind,sl_val,is_trades,is_wr,is_pf,is_net,is_avg_pct,oos_trades,oos_wr,oos_pf,oos_net,oos_avg_pct
5m,0.5,both,Percent,5.0,3300,67.88,0.643,-88697.6,-0.2687,2000,63.25,0.699,-28766.27,-0.1438
5m,0.5,long only,Percent,5.0,1590,70.13,0.681,-39696.51,-0.2495,986,63.59,0.663,-17274.15,-0.1751
5m,0.5,short only,Percent,5.0,1710,65.79,0.605,-49001.09,-0.2866,1014,62.92,0.74,-11492.11,-0.1133
5m,0.5,both,Percent,8.0,3091,68.39,0.609,-92241.99,-0.2983,1941,63.37,0.68,-29668.9,-0.1528
5m,0.5,long only,Percent,8.0,1479,70.86,0.651,-40596.56,-0.2743,951,63.51,0.641,-17546.23,-0.1844
5m,0.5,short only,Percent,8.0,1612,66.13,0.568,-51645.43,-0.3204,990,63.23,0.723,-12122.67,-0.1225
5m,0.5,both,1R to TP,,4929,50.01,0.629,-114456.56,-0.2322,2984,54.09,0.685,-41256.61,-0.1382
5m,0.5,long only,1R to TP,,2316,51.08,0.645,-54727.79,-0.2362,1500,53.27,0.642,-25228.69,-0.1681
5m,0.5,short only,1R to TP,,2613,49.06,0.613,-59728.78,-0.2286,1484,54.92,0.736,-16027.92,-0.108
5m,0.5,both,ATR,1.0,10039,21.63,0.476,-207592.98,-0.2068,6428,21.08,0.552,-71066.89,-0.1106
5m,0.5,long only,ATR,1.0,4429,23.82,0.53,-86653.69,-0.1957,3214,20.75,0.538,-38236.95,-0.119
5m,0.5,short only,ATR,1.0,5610,19.89,0.428,-120939.3,-0.2156,3214,21.41,0.566,-32829.94,-0.1021
5m,0.5,both,ATR,1.5,7904,31.07,0.547,-171153.12,-0.2165,5280,28.54,0.601,-62548.4,-0.1184
5m,0.5,long only,ATR,1.5,3489,33.94,0.596,-71699.51,-0.2054,2602,28.06,0.582,-33986.13,-0.1306
5m,0.5,short only,ATR,1.5,4415,28.81,0.503,-99453.62,-0.2253,2678,29.01,0.621,-28562.27,-0.1067
5m,0.5,both,ATR,2.0,6592,39.17,0.595,-143323.8,-0.2174,4480,35.31,0.637,-54856.68,-0.1224
5m,0.5,long only,ATR,2.0,2952,41.9,0.631,-62492.31,-0.2116,2212,34.54,0.608,-30972.35,-0.14
5m,0.5,short only,ATR,2.0,3640,36.95,0.562,-80831.5,-0.2221,2268,36.07,0.668,-23884.32,-0.1053
5m,0.5,both,ATR,3.0,5214,50.94,0.634,-117963.53,-0.2262,3614,45.55,0.665,-47759.1,-0.1321
5m,0.5,long only,ATR,3.0,2369,53.52,0.667,-52041.35,-0.2196,1776,45.16,0.635,-27246.58,-0.1534
5m,0.5,short only,ATR,3.0,2845,48.79,0.604,-65922.18,-0.2317,1838,45.92,0.699,-20512.52,-0.1116
5m,0.5,both,ATR,4.0,4553,57.98,0.654,-104001.7,-0.2284,3183,51.84,0.677,-44308.09,-0.1392
5m,0.5,long only,ATR,4.0,2096,60.07,0.675,-47989.55,-0.2288,1556,51.61,0.646,-25261.32,-0.1623
5m,0.5,short only,ATR,4.0,2457,56.21,0.634,-56012.15,-0.228,1627,52.06,0.71,-19046.77,-0.1171
5m,1.0,both,Percent,0.625,4746,28.0,0.595,-105189.43,-0.2216,1906,37.46,0.694,-26048.49,-0.1367
5m,1.0,long only,Percent,0.625,2289,28.35,0.632,-45933.81,-0.2006,980,36.73,0.684,-14017.25,-0.143
5m,1.0,short only,Percent,0.625,2457,27.68,0.561,-59255.62,-0.2412,926,38.23,0.706,-12031.25,-0.1299
5m,1.0,both,Percent,1.5,3119,48.7,0.665,-82760.22,-0.2653,1394,56.17,0.754,-19456.56,-0.1396
5m,1.0,long only,Percent,1.5,1530,47.97,0.678,-40575.79,-0.265,708,55.93,0.751,-10175.02,-0.1437
5m,1.0,short only,Percent,1.5,1589,49.4,0.653,-42184.43,-0.2655,686,56.41,0.757,-9281.54,-0.1353
5m,1.0,both,Percent,3.0,2369,60.11,0.689,-67448.92,-0.2846,1154,60.75,0.786,-14585.04,-0.1264
5m,1.0,long only,Percent,3.0,1168,61.47,0.708,-33180.02,-0.2839,591,61.59,0.756,-8970.79,-0.1518
5m,1.0,short only,Percent,3.0,1201,58.78,0.668,-34268.9,-0.2853,563,59.86,0.82,-5614.24,-0.0997
5m,1.0,both,Percent,5.0,2055,63.8,0.665,-67560.23,-0.3286,1050,60.48,0.785,-13027.79,-0.1241
5m,1.0,long only,Percent,5.0,1000,66.8,0.699,-31041.27,-0.3102,534,61.42,0.74,-8650.38,-0.162
5m,1.0,short only,Percent,5.0,1055,60.95,0.629,-36518.96,-0.3462,516,59.5,0.84,-4377.41,-0.0848
5m,1.0,both,Percent,8.0,1887,64.02,0.62,-72680.57,-0.385,1011,60.83,0.784,-12287.1,-0.1215
5m,1.0,long only,Percent,8.0,910,67.36,0.655,-33198.04,-0.3645,510,61.76,0.73,-8236.53,-0.1615
5m,1.0,short only,Percent,8.0,977,60.9,0.585,-39482.53,-0.4041,501,59.88,0.847,-4050.57,-0.0808
5m,1.0,both,1R to TP,,2722,52.83,0.66,-79488.32,-0.2919,1344,56.32,0.73,-21446.31,-0.1596
5m,1.0,long only,1R to TP,,1298,54.01,0.669,-39875.21,-0.307,690,56.52,0.687,-13711.35,-0.1987
5m,1.0,short only,1R to TP,,1424,51.76,0.651,-39613.12,-0.2782,654,56.12,0.784,-7734.96,-0.1183
5m,1.0,both,ATR,1.0,6168,18.06,0.515,-137168.97,-0.2224,2962,17.72,0.614,-33258.85,-0.1123
5m,1.0,long only,ATR,1.0,2777,20.63,0.575,-57965.46,-0.2087,1500,18.13,0.619,-17388.31,-0.1159
5m,1.0,short only,ATR,1.0,3391,15.95,0.46,-79203.5,-0.2336,1462,17.31,0.609,-15870.54,-0.1086
5m,1.0,both,ATR,1.5,4885,26.14,0.573,-120319.59,-0.2463,2449,24.46,0.651,-30667.46,-0.1252
5m,1.0,long only,ATR,1.5,2217,29.09,0.617,-52767.75,-0.2379,1225,25.06,0.648,-16185.42,-0.1321
5m,1.0,short only,ATR,1.5,2668,23.69,0.53,-67551.84,-0.2532,1224,23.86,0.653,-14482.05,-0.1183
5m,1.0,both,ATR,2.0,4071,33.78,0.616,-103429.67,-0.254,2089,30.92,0.68,-27732.3,-0.1328
5m,1.0,long only,ATR,2.0,1862,36.57,0.645,-47344.52,-0.2541,1041,31.22,0.67,-15007.37,-0.1442
5m,1.0,short only,ATR,2.0,2209,31.42,0.587,-56085.16,-0.2539,1048,30.63,0.692,-12724.94,-0.1214
5m,1.0,both,ATR,3.0,3231,45.59,0.645,-90129.96,-0.2789,1711,41.55,0.712,-24275.49,-0.1419
5m,1.0,long only,ATR,3.0,1486,48.79,0.678,-40532.87,-0.2726,849,42.87,0.71,-12660.4,-0.1491
5m,1.0,short only,ATR,3.0,1745,42.87,0.613,-49597.09,-0.2842,862,40.26,0.714,-11615.09,-0.1347
5m,1.0,both,ATR,4.0,2818,53.37,0.667,-79669.32,-0.2826,1534,48.24,0.723,-22927.79,-0.1495
5m,1.0,long only,ATR,4.0,1307,55.78,0.688,-37276.56,-0.285,762,49.61,0.715,-12276.35,-0.1611
5m,1.0,short only,ATR,4.0,1511,51.29,0.646,-42392.76,-0.2806,772,46.89,0.732,-10651.44,-0.138
5m,2.0,both,Percent,0.625,2248,18.82,0.579,-58700.32,-0.261,587,26.24,0.642,-11268.18,-0.192
5m,2.0,long only,Percent,0.625,1146,18.67,0.605,-28173.42,-0.2456,331,27.19,0.663,-5919.89,-0.1788
5m,2.0,short only,Percent,0.625,1102,18.97,0.551,-30526.9,-0.277,256,25.0,0.615,-5348.29,-0.2089
5m,2.0,both,Percent,1.5,1516,37.01,0.632,-56367.01,-0.3716,438,44.98,0.674,-11257.96,-0.257
5m,2.0,long only,Percent,1.5,794,35.39,0.63,-30640.16,-0.3856,245,45.71,0.68,-6286.8,-0.2566
