timeframe,sep_pct,direction,sl_kind,sl_val,is_trades,is_wr,is_pf,is_net,is_avg_pct,oos_trades,oos_wr,oos_pf,oos_net,oos_avg_pct
15m,0.15,short only,ATR,1.0,3018,23.0,0.467,-74593.61,-0.2472,2388,27.39,0.591,-26401.21,-0.1106
15m,0.15,both,ATR,1.5,4276,33.63,0.6,-97509.65,-0.228,3703,36.24,0.7,-36359.77,-0.0982
15m,0.15,long only,ATR,1.5,1848,36.69,0.679,-35087.13,-0.1899,1749,37.16,0.753,-14448.17,-0.0826
15m,0.15,short only,ATR,1.5,2428,31.3,0.535,-62422.52,-0.2571,1954,35.41,0.651,-21911.59,-0.1121
15m,0.15,both,ATR,2.0,3636,40.35,0.642,-82580.75,-0.2271,3230,42.29,0.729,-31895.64,-0.0987
15m,0.15,long only,ATR,2.0,1605,42.74,0.712,-30177.21,-0.188,1542,42.54,0.765,-13599.73,-0.0882
15m,0.15,short only,ATR,2.0,2031,38.45,0.583,-52403.54,-0.258,1688,42.06,0.695,-18295.91,-0.1084
15m,0.15,both,ATR,3.0,3008,49.2,0.679,-67647.62,-0.2249,2726,50.48,0.751,-28220.37,-0.1035
15m,0.15,long only,ATR,3.0,1344,51.34,0.744,-24535.06,-0.1826,1308,50.46,0.79,-11839.87,-0.0905
15m,0.15,short only,ATR,3.0,1664,47.48,0.625,-43112.56,-0.2591,1418,50.49,0.713,-16380.51,-0.1155
15m,0.15,both,ATR,4.0,2733,53.9,0.678,-65283.57,-0.2389,2464,55.48,0.746,-28375.69,-0.1152
15m,0.15,long only,ATR,4.0,1235,55.71,0.731,-25343.95,-0.2052,1177,55.9,0.8,-10846.85,-0.0922
15m,0.15,short only,ATR,4.0,1498,52.4,0.633,-39939.63,-0.2666,1287,55.09,0.696,-17528.85,-0.1362
15m,0.5,both,Percent,0.625,3707,26.71,0.589,-82481.59,-0.2225,2376,39.27,0.75,-25738.81,-0.1083
15m,0.5,long only,Percent,0.625,1641,28.15,0.657,-29983.91,-0.1827,1166,39.11,0.784,-10924.11,-0.0937
15m,0.5,short only,Percent,0.625,2066,25.56,0.538,-52497.68,-0.2541,1210,39.42,0.717,-14814.7,-0.1224
15m,0.5,both,Percent,1.5,2458,45.57,0.692,-62600.67,-0.2547,1605,58.94,0.826,-16498.15,-0.1028
15m,0.5,long only,Percent,1.5,1123,46.75,0.76,-22229.51,-0.1979,789,58.94,0.869,-6169.19,-0.0782
15m,0.5,short only,Percent,1.5,1335,44.57,0.634,-40371.16,-0.3024,816,58.95,0.782,-10328.96,-0.1266
15m,0.5,both,Percent,3.0,1850,59.46,0.704,-56607.6,-0.306,1287,67.37,0.835,-14032.62,-0.109
15m,0.5,long only,Percent,3.0,848,61.32,0.778,-19489.26,-0.2298,634,67.67,0.852,-6464.19,-0.102
15m,0.5,short only,Percent,3.0,1002,57.88,0.64,-37118.33,-0.3704,653,67.08,0.818,-7568.43,-0.1159
15m,0.5,both,Percent,5.0,1581,64.52,0.67,-58474.02,-0.3699,1163,70.08,0.805,-15933.25,-0.137
15m,0.5,long only,Percent,5.0,726,67.91,0.762,-19382.45,-0.267,569,70.3,0.819,-7568.05,-0.133
15m,0.5,short only,Percent,5.0,855,61.64,0.593,-39091.57,-0.4572,594,69.87,0.789,-8365.2,-0.1408
15m,0.5,both,Percent,8.0,1428,67.09,0.646,-57560.87,-0.4031,1090,70.46,0.765,-18423.43,-0.169
15m,0.5,long only,Percent,8.0,650,70.31,0.751,-17913.61,-0.2756,527,70.97,0.823,-6553.81,-0.1244
15m,0.5,short only,Percent,8.0,778,64.4,0.563,-39647.26,-0.5096,563,69.98,0.712,-11869.62,-0.2108
15m,0.5,both,1R to TP,,2152,47.72,0.72,-51297.03,-0.2384,1663,54.3,0.811,-17981.0,-0.1081
15m,0.5,long only,1R to TP,,965,50.05,0.776,-19157.97,-0.1985,813,54.74,0.823,-8711.87,-0.1072
15m,0.5,short only,1R to TP,,1187,45.83,0.67,-32139.06,-0.2708,850,53.88,0.798,-9269.13,-0.109
15m,0.5,both,ATR,1.0,4157,23.24,0.569,-98143.39,-0.2361,3245,25.55,0.7,-31447.09,-0.0969
15m,0.5,long only,ATR,1.0,1748,26.43,0.659,-34695.86,-0.1985,1518,26.75,0.76,-12172.35,-0.0802
15m,0.5,short only,ATR,1.0,2409,20.92,0.498,-63447.53,-0.2634,1727,24.49,0.645,-19274.74,-0.1116
15m,0.5,both,ATR,1.5,3278,32.55,0.639,-80206.29,-0.2447,2641,34.46,0.766,-24304.85,-0.092
15m,0.5,long only,ATR,1.5,1385,36.53,0.727,-27168.7,-0.1962,1247,36.17,0.826,-8771.56,-0.0703
15m,0.5,short only,ATR,1.5,1893,29.64,0.567,-53037.59,-0.2802,1394,32.93,0.709,-15533.29,-0.1114
15m,0.5,both,ATR,2.0,2738,40.47,0.681,-67576.77,-0.2468,2264,41.43,0.796,-20685.34,-0.0914
15m,0.5,long only,ATR,2.0,1180,44.07,0.759,-23172.63,-0.1964,1091,42.16,0.829,-8660.48,-0.0794
15m,0.5,short only,ATR,2.0,1558,37.74,0.616,-44404.14,-0.285,1173,40.75,0.763,-12024.86,-0.1025
15m,0.5,both,ATR,3.0,2205,51.29,0.717,-55136.72,-0.2501,1868,50.91,0.814,-18324.65,-0.0981
15m,0.5,long only,ATR,3.0,961,55.15,0.789,-18728.48,-0.1949,904,51.66,0.854,-7234.38,-0.08
15m,0.5,short only,ATR,3.0,1244,48.31,0.657,-36408.24,-0.2927,964,50.21,0.774,-11090.27,-0.115
15m,0.5,both,ATR,4.0,1965,57.35,0.715,-53434.44,-0.2719,1660,57.77,0.815,-17919.93,-0.108
15m,0.5,long only,ATR,4.0,865,61.04,0.774,-19615.03,-0.2268,801,59.05,0.87,-6156.24,-0.0769
15m,0.5,short only,ATR,4.0,1100,54.45,0.664,-33819.41,-0.3074,859,56.58,0.762,-11763.69,-0.1369
15m,1.0,both,Percent,0.625,2999,22.14,0.6,-70239.4,-0.2342,1591,30.99,0.75,-19824.92,-0.1246
15m,1.0,long only,Percent,0.625,1321,23.54,0.679,-24335.64,-0.1842,799,30.54,0.774,-9033.61,-0.1131
15m,1.0,short only,Percent,0.625,1678,21.04,0.54,-45903.76,-0.2736,792,31.44,0.725,-10791.31,-0.1363
15m,1.0,both,Percent,1.5,1955,40.66,0.7,-55251.31,-0.2826,1054,52.28,0.832,-12728.08,-0.1208
15m,1.0,long only,Percent,1.5,896,41.52,0.773,-19079.47,-0.2129,532,52.07,0.868,-5125.0,-0.0963
15m,1.0,short only,Percent,1.5,1059,39.94,0.639,-36171.84,-0.3416,522,52.49,0.795,-7603.08,-0.1457
15m,1.0,both,Percent,3.0,1412,56.66,0.73,-46033.88,-0.326,817,63.28,0.877,-8159.42,-0.0999
15m,1.0,long only,Percent,3.0,652,58.44,0.808,-15275.48,-0.2343,418,63.4,0.871,-4630.41,-0.1108
15m,1.0,short only,Percent,3.0,760,55.13,0.663,-30758.39,-0.4047,399,63.16,0.885,-3529.01,-0.0884
15m,1.0,both,Percent,5.0,1177,63.13,0.704,-46769.62,-0.3974,730,65.89,0.826,-11393.16,-0.1561
15m,1.0,long only,Percent,5.0,545,66.42,0.794,-15256.62,-0.2799,370,65.95,0.809,-6879.84,-0.1859
15m,1.0,short only,Percent,5.0,632,60.28,0.625,-31513.0,-0.4986,360,65.83,0.847,-4513.31,-0.1254
15m,1.0,both,Percent,8.0,1041,66.19,0.679,-46627.6,-0.4479,668,66.17,0.789,-13197.23,-0.1976
15m,1.0,long only,Percent,8.0,475,69.26,0.789,-13756.8,-0.2896,332,66.57,0.802,-6335.71,-0.1908
15m,1.0,short only,Percent,8.0,566,63.6,0.59,-32870.79,-0.5808,336,65.77,0.774,-6861.52,-0.2042
15m,1.0,both,1R to TP,,1485,51.45,0.756,-38866.22,-0.2617,955,54.87,0.819,-13497.81,-0.1413
15m,1.0,long only,1R to TP,,660,54.7,0.82,-13486.74,-0.2043,479,54.91,0.82,-7144.05,-0.1491
15m,1.0,short only,1R to TP,,825,48.85,0.7,-25379.49,-0.3076,476,54.83,0.818,-6353.77,-0.1335
15m,1.0,both,ATR,1.0,3201,20.56,0.593,-80308.3,-0.2509,2055,20.54,0.727,-21088.31,-0.1026
15m,1.0,long only,ATR,1.0,1340,23.88,0.691,-27376.27,-0.2043,978,21.27,0.778,-8470.06,-0.0866
15m,1.0,short only,ATR,1.0,1861,18.16,0.513,-52932.04,-0.2844,1077,19.87,0.676,-12618.24,-0.1172
15m,1.0,both,ATR,1.5,2518,29.67,0.662,-65913.25,-0.2618,1684,28.44,0.78,-17323.42,-0.1029
15m,1.0,long only,ATR,1.5,1060,33.68,0.757,-21352.88,-0.2014,817,29.62,0.828,-6843.84,-0.0838
15m,1.0,short only,ATR,1.5,1458,26.75,0.584,-44560.37,-0.3056,867,27.34,0.733,-10479.58,-0.1209
15m,1.0,both,ATR,2.0,2107,37.45,0.699,-56760.29,-0.2694,1454,34.94,0.803,-15465.89,-0.1064
15m,1.0,long only,ATR,2.0,899,41.49,0.789,-17998.9,-0.2002,719,35.61,0.834,-6687.19,-0.093
15m,1.0,short only,ATR,2.0,1208,34.44,0.624,-38761.39,-0.3209,735,34.29,0.771,-8778.7,-0.1194
15m,1.0,both,ATR,3.0,1671,48.41,0.731,-47074.8,-0.2817,1183,44.63,0.822,-13775.77,-0.1164
15m,1.0,long only,ATR,3.0,723,52.7,0.812,-14909.18,-0.2062,590,45.08,0.856,-5762.61,-0.0977
15m,1.0,short only,ATR,3.0,948,45.15,0.663,-32165.62,-0.3393,593,44.18,0.785,-8013.16,-0.1351
15m,1.0,both,ATR,4.0,1470,55.17,0.727,-46111.21,-0.3137,1046,52.1,0.822,-13638.66,-0.1304
15m,1.0,long only,ATR,4.0,648,58.64,0.786,-16897.06,-0.2608,517,53.58,0.875,-4811.95,-0.0931
15m,1.0,short only,ATR,4.0,822,52.43,0.676,-29214.14,-0.3554,529,50.66,0.769,-8826.71,-0.1669
15m,2.0,both,Percent,0.625,1962,16.46,0.599,-49719.72,-0.2534,716,24.44,0.826,-6850.56,-0.0957
15m,2.0,long only,Percent,0.625,891,17.17,0.668,-18532.97,-0.208,363,23.97,0.863,-2752.07,-0.0758
15m,2.0,short only,Percent,0.625,1071,15.87,0.543,-31186.75,-0.2912,353,24.93,0.788,-4098.49,-0.1161
15m,2.0,both,Percent,1.5,1331,33.36,0.703,-42533.01,-0.3196,496,46.17,0.916,-3515.64,-0.0709
15m,2.0,long only,Percent,1.5,626,32.59,0.746,-17404.8,-0.278,256,44.14,0.94,-1343.91,-0.0525
15m,2.0,short only,Percent,1.5,705,34.04,0.664,-25128.21,-0.3564,240,48.33,0.889,-2171.73,-0.0905
15m,2.0,both,Percent,3.0,950,51.26,0.748,-34095.84,-0.3589,404,60.89,0.963,-1478.57,-0.0366
15m,2.0,long only,Percent,3.0,447,51.01,0.792,-13819.68,-0.3092,210,58.57,0.896,-2447.09,-0.1165
15m,2.0,short only,Percent,3.0,503,51.49,0.705,-20276.16,-0.4031,194,63.4,1.059,968.52,0.0499
15m,2.0,both,Percent,5.0,783,60.03,0.737,-32943.94,-0.4207,359,64.35,0.943,-2201.16,-0.0613
15m,2.0,long only,Percent,5.0,368,61.68,0.803,-12147.13,-0.3301,180,62.78,0.861,-3180.33,-0.1767
15m,2.0,short only,Percent,5.0,415,58.55,0.674,-20796.81,-0.5011,179,65.92,1.063,979.18,0.0547
15m,2.0,both,Percent,8.0,677,63.81,0.723,-31253.3,-0.4616,323,66.25,0.966,-1182.54,-0.0366
15m,2.0,long only,Percent,8.0,308,65.91,0.836,-8385.95,-0.2723,156,66.67,0.905,-1885.09,-0.1208
15m,2.0,short only,Percent,8.0,369,62.06,0.63,-22867.35,-0.6197,167,65.87,1.047,702.55,0.0421
15m,2.0,both,1R to TP,,871,53.27,0.779,-27003.23,-0.31,402,59.45,0.915,-3548.99,-0.0883
15m,2.0,long only,1R to TP,,395,55.19,0.81,-11495.45,-0.291,205,57.07,0.864,-3240.81,-0.1581
15m,2.0,short only,1R to TP,,476,51.68,0.749,-15507.78,-0.3258,197,61.93,0.983,-308.19,-0.0156
15m,2.0,both,ATR,1.0,1956,17.54,0.612,-55257.01,-0.2825,840,18.69,0.834,-6317.79,-0.0752
15m,2.0,long only,ATR,1.0,848,20.4,0.702,-20099.93,-0.237,401,21.2,0.926,-1438.96,-0.0359
15m,2.0,short only,ATR,1.0,1108,15.34,0.532,-35157.08,-0.3173,439,16.4,0.737,-4878.83,-0.1111
15m,2.0,both,ATR,1.5,1538,25.94,0.678,-46624.15,-0.3031,701,26.39,0.882,-4739.65,-0.0676
15m,2.0,long only,ATR,1.5,669,29.3,0.76,-16500.64,-0.2466,335,29.25,0.978,-454.0,-0.0136
15m,2.0,short only,ATR,1.5,869,23.36,0.603,-30123.51,-0.3466,366,23.77,0.783,-4285.65,-0.1171
15m,2.0,both,ATR,2.0,1306,33.54,0.714,-40731.32,-0.3119,611,32.41,0.892,-4443.57,-0.0727
15m,2.0,long only,ATR,2.0,571,37.13,0.797,-13609.92,-0.2384,296,34.12,0.951,-1039.28,-0.0351
15m,2.0,short only,ATR,2.0,735,30.75,0.641,-27121.4,-0.369,315,30.79,0.828,-3404.3,-0.1081
15m,2.0,both,ATR,3.0,1055,44.17,0.735,-36065.14,-0.3418,510,41.57,0.9,-4225.09,-0.0828
15m,2.0,long only,ATR,3.0,468,47.44,0.793,-13481.72,-0.2881,252,42.86,0.951,-1108.77,-0.044
15m,2.0,short only,ATR,3.0,587,41.57,0.683,-22583.42,-0.3847,258,40.31,0.842,-3116.32,-0.1208
15m,2.0,both,ATR,4.0,925,52.11,0.746,-33197.86,-0.3589,460,49.13,0.902,-4112.17,-0.0894
15m,2.0,long only,ATR,4.0,417,53.96,0.767,-15187.48,-0.3642,225,51.11,0.975,-544.44,-0.0242
15m,2.0,short only,ATR,4.0,508,50.59,0.726,-18010.38,-0.3545,235,47.23,0.828,-3567.74,-0.1518
15m,3.0,both,Percent,0.625,1204,12.62,0.582,-33260.54,-0.2763,335,19.7,0.82,-3545.62,-0.1058
15m,3.0,long only,Percent,0.625,574,12.54,0.627,-14194.84,-0.2473,180,20.0,0.892,-1133.6,-0.063
15m,3.0,short only,Percent,0.625,630,12.7,0.541,-19065.7,-0.3026,155,19.35,0.736,-2412.02,-0.1556
15m,3.0,both,Percent,1.5,845,26.98,0.687,-31332.79,-0.3708,235,38.3,0.874,-2906.92,-0.1237
15m,3.0,long only,Percent,1.5,414,26.09,0.725,-13691.43,-0.3307,126,38.1,0.973,-336.71,-0.0267
15m,3.0,short only,Percent,1.5,431,27.84,0.649,-17641.36,-0.4093,109,38.53,0.761,-2570.2,-0.2358
15m,3.0,both,Percent,3.0,621,46.38,0.752,-24635.27,-0.3967,191,52.88,0.902,-2284.08,-0.1196
15m,3.0,long only,Percent,3.0,306,44.44,0.754,-12831.36,-0.4193,103,50.49,0.868,-1844.06,-0.179
15m,3.0,short only,Percent,3.0,315,48.25,0.75,-11803.91,-0.3747,88,55.68,0.953,-440.02,-0.05
15m,3.0,both,Percent,5.0,514,56.61,0.749,-23550.4,-0.4582,173,58.38,0.839,-3964.05,-0.2291
15m,3.0,long only,Percent,5.0,249,55.42,0.752,-12343.71,-0.4957,91,57.14,0.796,-3055.29,-0.3357
15m,3.0,short only,Percent,5.0,265,57.74,0.745,-11206.69,-0.4229,82,59.76,0.905,-908.75,-0.1108
15m,3.0,both,Percent,8.0,445,61.12,0.731,-23171.34,-0.5207,153,58.82,0.883,-2502.03,-0.1635
15m,3.0,long only,Percent,8.0,209,61.24,0.768,-10119.22,-0.4842,80,58.75,0.811,-2515.8,-0.3145
15m,3.0,short only,Percent,8.0,236,61.02,0.693,-13052.13,-0.5531,73,58.9,1.002,13.77,0.0019
15m,3.0,both,1R to TP,,513,54.78,0.81,-16363.68,-0.319,176,57.39,0.895,-2424.73,-0.1378
15m,3.0,long only,1R to TP,,243,55.56,0.791,-9632.48,-0.3964,90,57.78,0.906,-1232.16,-0.1369
15m,3.0,short only,1R to TP,,270,54.07,0.832,-6731.2,-0.2493,86,56.98,0.88,-1192.56,-0.1387
15m,3.0,both,ATR,1.0,1120,15.89,0.623,-36293.28,-0.324,364,16.76,0.823,-3514.06,-0.0965
15m,3.0,long only,ATR,1.0,518,17.76,0.69,-15160.65,-0.2927,189,18.52,0.888,-1270.32,-0.0672
15m,3.0,short only,ATR,1.0,602,14.29,0.553,-21132.63,-0.351,175,14.86,0.739,-2243.74,-0.1282
15m,3.0,both,ATR,1.5,893,23.85,0.68,-32131.48,-0.3598,305,23.61,0.856,-3114.3,-0.1021
15m,3.0,long only,ATR,1.5,410,25.85,0.739,-13340.21,-0.3254,151,27.81,0.987,-150.47,-0.01
15m,3.0,short only,ATR,1.5,483,22.15,0.618,-18791.27,-0.3891,154,19.48,0.708,-2963.82,-0.1925
15m,3.0,both,ATR,2.0,776,30.67,0.696,-31034.01,-0.3999,272,28.31,0.826,-4015.16,-0.1476
15m,3.0,long only,ATR,2.0,355,32.11,0.738,-13542.55,-0.3815,133,32.33,0.968,-383.96,-0.0289
15m,3.0,short only,ATR,2.0,421,29.45,0.653,-17491.46,-0.4155,139,24.46,0.676,-3631.2,-0.2612
15m,3.0,both,ATR,3.0,631,42.0,0.73,-26509.07,-0.4201,225,38.67,0.879,-2825.98,-0.1256
15m,3.0,long only,ATR,3.0,291,43.3,0.748,-12638.89,-0.4343,114,41.23,0.975,-316.57,-0.0278
15m,3.0,short only,ATR,3.0,340,40.88,0.71,-13870.18,-0.4079,111,36.04,0.763,-2509.41,-0.2261
15m,3.0,both,ATR,4.0,555,50.27,0.742,-24307.6,-0.438,201,46.77,0.871,-3009.07,-0.1497
15m,3.0,long only,ATR,4.0,262,51.15,0.731,-13513.54,-0.5158,102,48.04,0.937,-805.18,-0.0789
15m,3.0,short only,ATR,4.0,293,49.49,0.754,-10794.06,-0.3684,99,45.45,0.791,-2203.89,-0.2226
15m,5.0,both,Percent,0.625,466,7.3,0.548,-14822.05,-0.3181,93,8.6,0.523,-2967.47,-0.3191
15m,5.0,long only,Percent,0.625,266,7.52,0.589,-7736.18,-0.2908,62,11.29,0.702,-1199.03,-0.1934
15m,5.0,short only,Percent,0.625,200,7.0,0.493,-7085.88,-0.3543,31,3.23,0.194,-1768.43,-0.5705
15m,5.0,both,Percent,1.5,360,18.61,0.657,-16367.61,-0.4547,66,21.21,0.636,-2992.39,-0.4534
15m,5.0,long only,Percent,1.5,211,20.38,0.755,-6733.45,-0.3191,44,22.73,0.797,-1084.55,-0.2465
15m,5.0,short only,Percent,1.5,149,16.11,0.524,-9634.16,-0.6466,22,18.18,0.34,-1907.84,-0.8672
15m,5.0,both,Percent,3.0,266,35.71,0.69,-16341.3,-0.6143,51,45.1,0.928,-533.95,-0.1047
15m,5.0,long only,Percent,3.0,160,38.12,0.774,-7023.75,-0.439,32,46.88,1.088,414.47,0.1295
15m,5.0,short only,Percent,3.0,106,32.08,0.57,-9317.55,-0.879,19,42.11,0.642,-948.42,-0.4992
15m,5.0,both,Percent,5.0,224,46.43,0.649,-19687.2,-0.8789,45,53.33,0.85,-1179.57,-0.2621
15m,5.0,long only,Percent,5.0,135,48.15,0.68,-11054.91,-0.8189,27,59.26,1.068,315.98,0.117
15m,5.0,short only,Percent,5.0,89,43.82,0.599,-8632.3,-0.9699,18,44.44,0.532,-1495.55,-0.8309
15m,5.0,both,Percent,8.0,191,56.54,0.737,-12133.61,-0.6353,43,53.49,0.733,-2288.94,-0.5323
15m,5.0,long only,Percent,8.0,112,58.04,0.766,-6639.62,-0.5928,26,61.54,0.919,-408.78,-0.1572
15m,5.0,short only,Percent,8.0,79,54.43,0.689,-5493.99,-0.6954,17,41.18,0.468,-1880.16,-1.106
15m,5.0,both,1R to TP,,200,52.0,0.754,-11287.08,-0.5644,45,53.33,0.785,-1828.17,-0.4063
15m,5.0,long only,1R to TP,,117,54.7,0.751,-7277.56,-0.622,27,59.26,0.93,-372.55,-0.138
15m,5.0,short only,1R to TP,,83,48.19,0.758,-4009.52,-0.4831,18,44.44,0.538,-1455.62,-0.8087
15m,5.0,both,ATR,1.0,405,13.09,0.624,-17633.27,-0.4354,90,13.33,0.763,-1537.98,-0.1709
15m,5.0,long only,ATR,1.0,228,14.47,0.667,-9584.16,-0.4204,59,16.95,0.94,-273.59,-0.0464
15m,5.0,short only,ATR,1.0,177,11.3,0.554,-8049.11,-0.4548,31,6.45,0.338,-1264.39,-0.4079
15m,5.0,both,ATR,1.5,334,20.06,0.644,-18265.65,-0.5469,75,17.33,0.748,-1771.47,-0.2362
15m,5.0,long only,ATR,1.5,188,23.94,0.731,-8320.21,-0.4426,48,22.92,0.972,-134.89,-0.0281
15m,5.0,short only,ATR,1.5,146,15.07,0.515,-9945.44,-0.6812,27,7.41,0.283,-1636.58,-0.6061
15m,5.0,both,ATR,2.0,292,26.71,0.66,-17908.92,-0.6133,65,20.0,0.742,-1880.84,-0.2894
15m,5.0,long only,ATR,2.0,164,30.49,0.732,-8405.88,-0.5126,39,25.64,0.971,-131.94,-0.0338
15m,5.0,short only,ATR,2.0,128,21.88,0.555,-9503.04,-0.7424,26,11.54,0.357,-1748.9,-0.6727
15m,5.0,both,ATR,3.0,242,38.43,0.672,-17186.62,-0.7102,56,30.36,0.811,-1449.14,-0.2588
15m,5.0,long only,ATR,3.0,138,42.75,0.739,-7983.68,-0.5785,34,38.24,1.139,637.36,0.1875
15m,5.0,short only,ATR,3.0,104,32.69,0.578,-9202.94,-0.8849,22,18.18,0.321,-2086.5,-0.9484
15m,5.0,both,ATR,4.0,220,46.36,0.679,-16429.87,-0.7468,48,37.5,0.883,-827.28,-0.1724
15m,5.0,long only,ATR,4.0,126,50.79,0.725,-8461.91,-0.6716,28,46.43,1.266,1050.4,0.3751
15m,5.0,short only,ATR,4.0,94,40.43,0.609,-7967.95,-0.8477,20,25.0,0.394,-1877.68,-0.9388
1h,0.15,both,Percent,0.625,1360,18.97,0.555,-35046.48,-0.2577,1179,29.94,0.749,-13669.99,-0.1159
1h,0.15,long only,Percent,0.625,582,21.13,0.618,-12252.48,-0.2105,602,30.23,0.733,-7310.91,-0.1214
1h,0.15,short only,Percent,0.625,778,17.35,0.512,-22794.0,-0.293,577,29.64,0.765,-6359.08,-0.1102
1h,0.15,both,Percent,1.5,1042,33.01,0.683,-32302.75,-0.31,843,47.45,0.9,-5755.26,-0.0683
1h,0.15,long only,Percent,1.5,472,34.75,0.741,-11343.06,-0.2403,437,47.6,0.936,-1892.6,-0.0433
1h,0.15,short only,Percent,1.5,570,31.58,0.639,-20959.69,-0.3677,406,47.29,0.863,-3862.66,-0.0951
1h,0.15,both,Percent,3.0,809,45.61,0.664,-38334.27,-0.4738,680,58.09,0.845,-9054.29,-0.1332
1h,0.15,long only,Percent,3.0,378,46.83,0.748,-12642.93,-0.3345,349,59.31,0.909,-2641.7,-0.0757
1h,0.15,short only,Percent,3.0,431,44.55,0.598,-25691.34,-0.5961,331,56.8,0.783,-6412.59,-0.1937
1h,0.15,both,Percent,5.0,665,55.79,0.671,-36768.63,-0.5485,593,62.73,0.845,-8158.16,-0.1376
1h,0.15,long only,Percent,5.0,306,58.82,0.87,-6033.7,-0.1876,304,62.5,0.931,-1742.57,-0.0573
1h,0.15,short only,Percent,5.0,359,53.2,0.539,-30734.93,-0.8561,289,62.98,0.764,-6415.6,-0.222
1h,0.15,both,Percent,8.0,577,61.53,0.654,-36430.88,-0.6263,538,64.5,0.979,-849.36,-0.0158
1h,0.15,long only,Percent,8.0,269,63.94,0.899,-4306.09,-0.1492,278,64.75,1.084,1660.45,0.0597
1h,0.15,short only,Percent,8.0,308,59.42,0.502,-32124.79,-1.043,260,64.23,0.879,-2509.81,-0.0965
1h,0.15,both,1R to TP,,731,44.87,0.671,-34044.38,-0.4657,733,49.52,0.929,-3594.09,-0.049
1h,0.15,long only,1R to TP,,339,46.9,0.854,-6068.69,-0.179,378,49.21,0.974,-671.68,-0.0178
1h,0.15,short only,1R to TP,,392,43.11,0.549,-27975.69,-0.7137,355,49.86,0.882,-2922.41,-0.0823
1h,0.15,both,ATR,1.0,1207,27.75,0.698,-31517.05,-0.2611,1212,29.54,0.769,-13816.17,-0.114
1h,0.15,long only,ATR,1.0,514,32.3,0.839,-7004.44,-0.1363,607,31.47,0.839,-4862.0,-0.0801
1h,0.15,short only,ATR,1.0,693,24.39,0.597,-24512.61,-0.3537,605,27.6,0.698,-8954.16,-0.148
1h,0.15,both,ATR,1.5,1005,35.22,0.704,-32254.98,-0.3209,1013,37.91,0.82,-11074.86,-0.1093
1h,0.15,long only,ATR,1.5,438,39.5,0.852,-6682.51,-0.1526,512,38.67,0.858,-4484.47,-0.0876
1h,0.15,short only,ATR,1.5,567,31.92,0.599,-25572.46,-0.451,501,37.13,0.78,-6590.4,-0.1315
1h,0.15,both,ATR,2.0,883,41.11,0.711,-31219.71,-0.3536,891,45.01,0.871,-7707.96,-0.0865
1h,0.15,long only,ATR,2.0,397,44.33,0.842,-7330.89,-0.1847,456,45.18,0.887,-3503.57,-0.0768
1h,0.15,short only,ATR,2.0,486,38.48,0.613,-23888.82,-0.4915,435,44.83,0.853,-4204.39,-0.0967
1h,0.15,both,ATR,3.0,744,49.06,0.672,-36260.73,-0.4874,751,53.66,0.896,-5911.53,-0.0787
1h,0.15,long only,ATR,3.0,339,52.8,0.803,-9310.54,-0.2746,383,54.57,0.912,-2592.32,-0.0677
1h,0.15,short only,ATR,3.0,405,45.93,0.575,-26950.18,-0.6654,368,52.72,0.877,-3319.22,-0.0902
1h,0.15,both,ATR,4.0,687,53.86,0.614,-44926.7,-0.654,688,57.85,0.869,-7396.05,-0.1075
1h,0.15,long only,ATR,4.0,311,57.88,0.78,-10452.7,-0.3361,349,58.74,0.887,-3255.05,-0.0933
1h,0.15,short only,ATR,4.0,376,50.53,0.499,-34474.0,-0.9169,339,56.93,0.85,-4141.0,-0.1222
1h,0.5,both,Percent,0.625,1274,17.74,0.558,-34224.38,-0.2686,1031,28.03,0.763,-12418.58,-0.1205
1h,0.5,long only,Percent,0.625,537,20.11,0.624,-11795.97,-0.2197,523,28.11,0.741,-6862.48,-0.1312
1h,0.5,short only,Percent,0.625,737,16.01,0.514,-22428.41,-0.3043,508,27.95,0.785,-5556.11,-0.1094
1h,0.5,both,Percent,1.5,960,32.4,0.688,-31359.86,-0.3267,708,47.88,0.928,-3999.7,-0.0565
1h,0.5,long only,Percent,1.5,428,34.58,0.754,-10536.2,-0.2462,364,47.8,0.96,-1138.39,-0.0313
1h,0.5,short only,Percent,1.5,532,30.64,0.639,-20823.66,-0.3914,344,47.97,0.894,-2861.3,-0.0832
1h,0.5,both,Percent,3.0,730,46.03,0.668,-37407.33,-0.5124,548,60.95,0.887,-6226.09,-0.1136
1h,0.5,long only,Percent,3.0,337,47.77,0.757,-12011.91,-0.3564,277,62.45,0.952,-1310.38,-0.0473
1h,0.5,short only,Percent,3.0,393,44.53,0.6,-25395.42,-0.6462,271,59.41,0.822,-4915.71,-0.1814
1h,0.5,both,Percent,5.0,586,57.85,0.68,-35134.35,-0.5946,463,67.39,0.913,-4139.43,-0.0894
1h,0.5,long only,Percent,5.0,266,62.03,0.882,-5421.9,-0.1929,233,67.38,1.01,223.67,0.0096
1h,0.5,short only,Percent,5.0,320,54.38,0.546,-29712.46,-0.9285,230,67.39,0.824,-4363.09,-0.1897
1h,0.5,both,Percent,8.0,501,64.67,0.658,-35682.99,-0.7064,413,70.7,1.075,2740.66,0.0664
1h,0.5,long only,Percent,8.0,230,68.26,0.905,-4043.19,-0.1631,210,71.43,1.172,3139.34,0.1495
